Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988305,Dissolved Oxygen,Measured,1991-08-14T17:00Z,7.096,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,1991-09-14T17:00Z,3.727,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,1991-10-14T17:00Z,7.8,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,1991-11-14T17:00Z,6.677,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,1991-12-14T17:00Z,6.192,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,1992-01-14T17:00Z,1.91,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,1992-02-14T17:00Z,5.02,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,1992-03-14T17:00Z,6.58,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,1992-04-14T17:00Z,3.82,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,1992-05-14T17:00Z,4.06,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,1992-06-14T17:00Z,4.63,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,1992-07-14T17:00Z,4.53,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,1992-08-14T17:00Z,5.05,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,1992-09-14T17:00Z,6.42,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,1992-10-14T17:00Z,5.24,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,1992-11-14T17:00Z,4.026,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,1992-12-14T17:00Z,1.006,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,1993-01-14T17:00Z,4.85,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,1993-02-14T17:00Z,4.01,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,1993-03-14T17:00Z,5.41,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,1993-04-14T17:00Z,4.52,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,1993-05-14T17:00Z,5.65,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,1993-06-14T17:00Z,2.89,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,1993-08-14T17:00Z,5.3,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,1993-09-14T17:00Z,6.01,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,1993-10-14T17:00Z,6.21,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,1993-11-14T17:00Z,5.57,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,1993-12-14T17:00Z,5.14,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,1994-01-14T17:00Z,3.41,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,1994-02-14T17:00Z,4.16,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,1994-03-14T17:00Z,4.06,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,1994-04-14T17:00Z,6.97,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,1994-05-14T17:00Z,1.48,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,1994-06-14T17:00Z,5.14,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,1994-09-14T17:00Z,8.01,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,1994-11-14T17:00Z,6.84,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,1994-12-14T17:00Z,7.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,1995-01-14T17:00Z,6.57,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,1995-02-14T17:00Z,6.16,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,1995-03-14T17:00Z,6.1,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,1995-04-14T17:00Z,6.76,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,1995-06-14T17:00Z,5.9,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,1998-10-14T17:00Z,5.7,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,1998-11-14T17:00Z,5.237,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,1998-12-14T17:00Z,6.85,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,2001-01-14T17:00Z,6.38,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,2001-02-14T17:00Z,6.85,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,2001-03-14T17:00Z,6.7,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,2001-04-14T17:00Z,7.1,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,2001-05-14T17:00Z,7.2,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,2001-06-14T17:00Z,6.9,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,2001-07-14T17:00Z,6.8,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,2001-08-14T17:00Z,6.5,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,2001-09-14T17:00Z,5.9,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,2001-10-14T17:00Z,5.8,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,2001-11-14T17:00Z,5.7,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,2001-12-14T17:00Z,7.2,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,2002-01-14T17:00Z,7.39,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,2002-02-14T17:00Z,6.08,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,2002-03-14T17:00Z,6.81,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,2002-04-14T17:00Z,6.07,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,2002-05-14T17:00Z,7.07,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,2002-07-14T17:00Z,5.64,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,2002-12-14T17:00Z,5.36,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,2003-01-14T17:00Z,4.2,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,2003-02-14T17:00Z,4.12,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,2003-03-14T17:00Z,5.21,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,2003-04-14T17:00Z,3.2,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,2003-05-14T17:00Z,3.15,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,2003-06-14T17:00Z,3.42,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,2003-07-14T17:00Z,6.85,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,2003-08-14T17:00Z,7.12,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,2003-09-14T17:00Z,7.12,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,2003-10-14T17:00Z,6.85,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,2003-11-14T17:00Z,6.34,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,2003-12-14T17:00Z,7.06,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,2004-01-14T17:00Z,6.93,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,2004-02-14T17:00Z,6.58,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,2004-03-14T17:00Z,5.96,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,2004-04-14T17:00Z,6.12,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,2004-05-14T17:00Z,6.98,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,2004-06-14T17:00Z,6.85,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,2004-07-14T17:00Z,5.23,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,2004-08-14T17:00Z,6.53,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,2004-09-14T17:00Z,6.94,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,2004-10-14T17:00Z,7.14,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,2004-11-14T17:00Z,5.76,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,2004-12-14T17:00Z,6.37,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,2005-01-14T17:00Z,5.45,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988305,Dissolved Oxygen,Measured,2005-02-14T17:00Z,5.66,mg/l,O,Raw - Not Yet Reviewed,Unverified data
