Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988307,Dissolved Oxygen,Measured,1991-08-14T17:00Z,4.459,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,1991-09-14T17:00Z,5.166,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,1991-10-14T17:00Z,7.682,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,1991-11-14T17:00Z,6.778,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,1991-12-14T17:00Z,3.345,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,1992-01-14T17:00Z,2.81,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,1992-02-14T17:00Z,4.56,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,1992-03-14T17:00Z,3.59,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,1992-04-14T17:00Z,2.5,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,1992-05-14T17:00Z,5.65,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,1992-06-14T17:00Z,4.89,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,1992-07-14T17:00Z,3.46,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,1992-08-14T17:00Z,5.34,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,1992-09-14T17:00Z,4.9,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,1992-10-14T17:00Z,3.43,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,1992-11-14T17:00Z,4.738,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,1992-12-14T17:00Z,1.17,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,1993-01-14T17:00Z,4.445,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,1993-02-14T17:00Z,3.68,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,1993-04-14T17:00Z,3.1,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,1993-05-14T17:00Z,5.24,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,1993-06-14T17:00Z,4.43,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,1993-08-14T17:00Z,3.18,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,1993-09-14T17:00Z,2.95,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,1993-10-14T17:00Z,4.67,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,1993-11-14T17:00Z,5.31,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,1993-12-14T17:00Z,6.23,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,1994-01-14T17:00Z,2.7,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,1994-02-14T17:00Z,2.61,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,1994-03-14T17:00Z,3.16,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,1994-04-14T17:00Z,3.54,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,1994-05-14T17:00Z,4.34,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,1994-06-14T17:00Z,4.49,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,1994-08-14T17:00Z,4.6,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,1994-09-14T17:00Z,6.25,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,1994-11-14T17:00Z,8.95,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,1994-12-14T17:00Z,7.85,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,1995-01-14T17:00Z,4.49,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,1995-02-14T17:00Z,6.86,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,1995-03-14T17:00Z,6.15,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,1995-04-14T17:00Z,5.91,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,1995-06-14T17:00Z,5.65,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,1998-10-14T17:00Z,5.97,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,1998-11-14T17:00Z,7.329,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,1998-12-14T17:00Z,1.02,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,2001-01-14T17:00Z,6.72,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,2001-02-14T17:00Z,6.25,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,2001-03-14T17:00Z,6.5,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,2001-04-14T17:00Z,6.5,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,2001-05-14T17:00Z,6.5,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,2001-06-14T17:00Z,6.8,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,2001-07-14T17:00Z,6.8,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,2001-08-14T17:00Z,6.5,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,2001-09-14T17:00Z,6.8,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,2001-10-14T17:00Z,6.9,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,2001-11-14T17:00Z,6.7,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,2001-12-14T17:00Z,6.8,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,2002-01-14T17:00Z,5.76,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,2002-02-14T17:00Z,5.73,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,2002-03-14T17:00Z,7.29,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,2002-04-14T17:00Z,7.59,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,2002-05-14T17:00Z,5.45,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,2002-07-14T17:00Z,6.42,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,2002-12-14T17:00Z,5.63,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,2003-01-14T17:00Z,3.25,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,2003-02-14T17:00Z,3.42,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,2003-03-14T17:00Z,4.12,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,2003-04-14T17:00Z,3.26,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,2003-05-14T17:00Z,5.2,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,2003-06-14T17:00Z,5.24,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,2003-07-14T17:00Z,6.34,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,2003-08-14T17:00Z,6.85,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,2003-09-14T17:00Z,6.75,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,2003-10-14T17:00Z,5.98,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,2003-11-14T17:00Z,6.98,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,2003-12-14T17:00Z,6.34,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,2004-01-14T17:00Z,6.05,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,2004-02-14T17:00Z,6.34,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,2004-03-14T17:00Z,5.96,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,2004-04-14T17:00Z,6.34,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,2004-05-14T17:00Z,6.75,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Dissolved Oxygen,Measured,2004-06-14T17:00Z,6.53,mg/l,O,Raw - Not Yet Reviewed,Unverified data
