Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988309,Dissolved Oxygen,Measured,1991-08-14T17:00Z,6.51,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Dissolved Oxygen,Measured,1991-09-14T17:00Z,5.089,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Dissolved Oxygen,Measured,1991-10-14T17:00Z,7.473,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Dissolved Oxygen,Measured,1991-11-14T17:00Z,7.556,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Dissolved Oxygen,Measured,1991-12-14T17:00Z,4.207,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Dissolved Oxygen,Measured,1992-02-14T17:00Z,5.02,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Dissolved Oxygen,Measured,1992-03-14T17:00Z,4.96,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Dissolved Oxygen,Measured,1992-04-14T17:00Z,3.66,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Dissolved Oxygen,Measured,1992-05-14T17:00Z,4.88,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Dissolved Oxygen,Measured,1992-06-14T17:00Z,2.95,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Dissolved Oxygen,Measured,1992-07-14T17:00Z,3.83,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Dissolved Oxygen,Measured,1992-08-14T17:00Z,5.05,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Dissolved Oxygen,Measured,1992-09-14T17:00Z,5.71,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Dissolved Oxygen,Measured,1992-10-14T17:00Z,5.11,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Dissolved Oxygen,Measured,1992-11-14T17:00Z,4.317,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Dissolved Oxygen,Measured,1993-01-14T17:00Z,6.636,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Dissolved Oxygen,Measured,1993-02-14T17:00Z,5.05,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Dissolved Oxygen,Measured,1993-03-14T17:00Z,4.98,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Dissolved Oxygen,Measured,1993-04-14T17:00Z,5.67,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Dissolved Oxygen,Measured,1993-05-14T17:00Z,5.16,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Dissolved Oxygen,Measured,1993-06-14T17:00Z,0.85,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Dissolved Oxygen,Measured,1993-08-14T17:00Z,7.01,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Dissolved Oxygen,Measured,1993-09-14T17:00Z,6.08,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Dissolved Oxygen,Measured,1993-10-14T17:00Z,6.25,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Dissolved Oxygen,Measured,1993-11-14T17:00Z,5.95,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Dissolved Oxygen,Measured,1993-12-14T17:00Z,6.03,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Dissolved Oxygen,Measured,1994-01-14T17:00Z,4.02,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Dissolved Oxygen,Measured,1994-02-14T17:00Z,5.99,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Dissolved Oxygen,Measured,1994-03-14T17:00Z,5.53,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Dissolved Oxygen,Measured,1994-04-14T17:00Z,4.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Dissolved Oxygen,Measured,1994-05-14T17:00Z,7.21,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Dissolved Oxygen,Measured,1994-06-14T17:00Z,5.66,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Dissolved Oxygen,Measured,1994-08-14T17:00Z,6.62,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Dissolved Oxygen,Measured,1994-09-14T17:00Z,7.35,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Dissolved Oxygen,Measured,1994-11-14T17:00Z,7.59,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Dissolved Oxygen,Measured,1994-12-14T17:00Z,5.74,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Dissolved Oxygen,Measured,1995-01-14T17:00Z,5.37,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Dissolved Oxygen,Measured,1995-02-14T17:00Z,6.26,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Dissolved Oxygen,Measured,1995-03-14T17:00Z,6.15,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Dissolved Oxygen,Measured,1995-04-14T17:00Z,6.62,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Dissolved Oxygen,Measured,1995-06-14T17:00Z,5.71,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Dissolved Oxygen,Measured,1998-10-14T17:00Z,5.65,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Dissolved Oxygen,Measured,1998-11-14T17:00Z,5.967,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Dissolved Oxygen,Measured,1998-12-14T17:00Z,4.59,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Dissolved Oxygen,Measured,2001-01-14T17:00Z,6.43,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Dissolved Oxygen,Measured,2001-02-14T17:00Z,6.82,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Dissolved Oxygen,Measured,2001-03-14T17:00Z,6.5,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Dissolved Oxygen,Measured,2001-04-14T17:00Z,5.9,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Dissolved Oxygen,Measured,2001-05-14T17:00Z,5.8,mg/l,O,Raw - Not Yet Reviewed,Unverified data
