Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988310,Dissolved Oxygen,Measured,1991-08-14T17:00Z,6.426,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Dissolved Oxygen,Measured,1991-09-14T17:00Z,4.864,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Dissolved Oxygen,Measured,1991-10-14T17:00Z,6.301,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Dissolved Oxygen,Measured,1991-11-14T17:00Z,6.543,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Dissolved Oxygen,Measured,1992-01-14T17:00Z,3.63,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Dissolved Oxygen,Measured,1992-02-14T17:00Z,6.76,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Dissolved Oxygen,Measured,1992-03-14T17:00Z,4.02,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Dissolved Oxygen,Measured,1992-04-14T17:00Z,3.96,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Dissolved Oxygen,Measured,1992-05-14T17:00Z,3.72,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Dissolved Oxygen,Measured,1992-06-14T17:00Z,6.23,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Dissolved Oxygen,Measured,1992-07-14T17:00Z,3.93,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Dissolved Oxygen,Measured,1992-08-14T17:00Z,3.46,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Dissolved Oxygen,Measured,1992-09-14T17:00Z,5.58,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Dissolved Oxygen,Measured,1992-10-14T17:00Z,5.4,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Dissolved Oxygen,Measured,1992-11-14T17:00Z,4.123,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Dissolved Oxygen,Measured,1992-12-14T17:00Z,1.622,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Dissolved Oxygen,Measured,1993-01-14T17:00Z,4.31,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Dissolved Oxygen,Measured,1993-02-14T17:00Z,6.28,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Dissolved Oxygen,Measured,1993-03-14T17:00Z,3.49,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Dissolved Oxygen,Measured,1993-04-14T17:00Z,1.21,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Dissolved Oxygen,Measured,1993-05-14T17:00Z,3.86,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Dissolved Oxygen,Measured,1993-08-14T17:00Z,5.96,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Dissolved Oxygen,Measured,1993-09-14T17:00Z,5.92,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Dissolved Oxygen,Measured,1993-09-15T05:00Z,1.42,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Dissolved Oxygen,Measured,1993-10-14T17:00Z,5.44,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Dissolved Oxygen,Measured,1993-11-14T17:00Z,4.41,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Dissolved Oxygen,Measured,1993-12-14T17:00Z,4.43,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Dissolved Oxygen,Measured,1994-01-14T17:00Z,0.833,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Dissolved Oxygen,Measured,1994-02-14T17:00Z,0.659,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Dissolved Oxygen,Measured,1994-03-14T17:00Z,4.02,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Dissolved Oxygen,Measured,1994-04-14T17:00Z,6.84,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Dissolved Oxygen,Measured,1994-05-14T17:00Z,0.608,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Dissolved Oxygen,Measured,1994-06-14T17:00Z,3.13,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Dissolved Oxygen,Measured,1994-08-14T17:00Z,7.01,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Dissolved Oxygen,Measured,1994-09-14T17:00Z,8.08,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Dissolved Oxygen,Measured,1994-11-14T17:00Z,8.98,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Dissolved Oxygen,Measured,1994-12-14T17:00Z,3.25,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Dissolved Oxygen,Measured,1995-01-14T17:00Z,5.47,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Dissolved Oxygen,Measured,1995-02-14T17:00Z,5.92,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Dissolved Oxygen,Measured,1995-03-14T17:00Z,4.97,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Dissolved Oxygen,Measured,1995-04-14T17:00Z,5.81,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Dissolved Oxygen,Measured,1998-10-14T17:00Z,5.65,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Dissolved Oxygen,Measured,1998-11-14T17:00Z,4.426,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Dissolved Oxygen,Measured,1998-12-14T17:00Z,4.89,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Dissolved Oxygen,Measured,2001-01-14T17:00Z,6.8,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Dissolved Oxygen,Measured,2001-02-14T17:00Z,6.75,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Dissolved Oxygen,Measured,2001-03-14T17:00Z,6.7,mg/l,O,Raw - Not Yet Reviewed,Unverified data
