Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988312,Dissolved Oxygen,Measured,1991-08-14T17:00Z,6.091,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988312,Dissolved Oxygen,Measured,1991-09-14T17:00Z,5.057,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988312,Dissolved Oxygen,Measured,1991-10-14T17:00Z,6.074,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988312,Dissolved Oxygen,Measured,1991-11-14T17:00Z,7.213,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988312,Dissolved Oxygen,Measured,1991-12-14T17:00Z,5.572,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988312,Dissolved Oxygen,Measured,1992-01-14T17:00Z,1.33,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988312,Dissolved Oxygen,Measured,1992-02-14T17:00Z,4.99,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988312,Dissolved Oxygen,Measured,1992-03-14T17:00Z,6.58,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988312,Dissolved Oxygen,Measured,1992-04-14T17:00Z,5.5,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988312,Dissolved Oxygen,Measured,1992-05-14T17:00Z,4.95,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988312,Dissolved Oxygen,Measured,1992-06-14T17:00Z,4.34,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988312,Dissolved Oxygen,Measured,1992-07-14T17:00Z,6.51,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988312,Dissolved Oxygen,Measured,1992-08-14T17:00Z,4.91,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988312,Dissolved Oxygen,Measured,1992-10-14T17:00Z,4.12,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988312,Dissolved Oxygen,Measured,1992-11-14T17:00Z,4.317,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988312,Dissolved Oxygen,Measured,1993-01-14T17:00Z,3.03,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988312,Dissolved Oxygen,Measured,1993-02-14T17:00Z,5.5,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988312,Dissolved Oxygen,Measured,1993-03-14T17:00Z,4.01,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988312,Dissolved Oxygen,Measured,1993-04-14T17:00Z,1.8,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988312,Dissolved Oxygen,Measured,1993-05-14T17:00Z,6.45,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988312,Dissolved Oxygen,Measured,1993-08-14T17:00Z,4.32,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988312,Dissolved Oxygen,Measured,1993-09-14T17:00Z,4.32,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988312,Dissolved Oxygen,Measured,1993-10-14T17:00Z,4.18,mg/l,O,Raw - Not Yet Reviewed,Unverified data
