Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988313,Dissolved Oxygen,Measured,1991-08-14T17:00Z,6.945,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,1991-09-14T17:00Z,5.238,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,1991-10-14T17:00Z,7.347,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,1991-11-14T17:00Z,7.077,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,1991-12-14T17:00Z,4.835,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,1992-01-14T17:00Z,2.81,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,1992-02-14T17:00Z,4.32,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,1992-03-14T17:00Z,5.45,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,1992-04-14T17:00Z,4.26,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,1992-05-14T17:00Z,4.27,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,1992-06-14T17:00Z,4.25,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,1992-07-14T17:00Z,4.19,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,1992-08-14T17:00Z,4.69,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,1992-10-14T17:00Z,7.78,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,1992-11-14T17:00Z,4.188,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,1992-12-14T17:00Z,1.868,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,1993-01-14T17:00Z,4.04,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,1993-02-14T17:00Z,5.11,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,1993-03-14T17:00Z,4.61,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,1993-04-14T17:00Z,4.03,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,1993-05-14T17:00Z,6.45,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,1993-06-14T17:00Z,1.7,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,1993-08-14T17:00Z,5.26,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,1993-09-14T17:00Z,5.66,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,1993-10-14T17:00Z,6.14,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,1993-11-14T17:00Z,5.21,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,1993-12-14T17:00Z,6.33,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,1994-01-14T17:00Z,4.02,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,1994-02-14T17:00Z,5.48,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,1994-03-14T17:00Z,7.5,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,1994-04-14T17:00Z,6.12,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,1994-05-14T17:00Z,2.87,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,1994-06-14T17:00Z,5.15,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,1994-08-14T17:00Z,5.98,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,1994-09-14T17:00Z,6.42,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,1994-11-14T17:00Z,6.96,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,1994-12-14T17:00Z,6.18,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,1995-01-14T17:00Z,6.31,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,1995-02-14T17:00Z,5.76,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,1995-03-14T17:00Z,6.2,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,1995-04-14T17:00Z,6.98,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,1995-06-14T17:00Z,7.35,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,1998-10-14T17:00Z,5.1,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,1998-11-14T17:00Z,5.075,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,1998-12-14T17:00Z,3.31,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,2001-01-14T17:00Z,6.42,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,2001-02-14T17:00Z,6.85,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,2001-03-14T17:00Z,5.6,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,2001-04-14T17:00Z,6.8,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,2001-05-14T17:00Z,5.8,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,2001-06-14T17:00Z,6.7,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,2001-07-14T17:00Z,6.2,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,2001-08-14T17:00Z,6.3,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,2001-09-14T17:00Z,6.2,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,2001-10-14T17:00Z,6.5,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,2001-11-14T17:00Z,6.4,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,2001-12-14T17:00Z,5.2,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,2002-01-14T17:00Z,6.5,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,2002-02-14T17:00Z,6.53,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,2002-03-14T17:00Z,7.57,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,2002-04-14T17:00Z,5.51,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,2002-05-14T17:00Z,7.12,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,2002-07-14T17:00Z,6.47,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,2002-12-14T17:00Z,6.82,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,2003-01-14T17:00Z,5.26,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,2003-02-14T17:00Z,5.42,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,2003-03-14T17:00Z,6.03,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,2003-04-14T17:00Z,5.8,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,2003-05-14T17:00Z,5.46,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,2003-06-14T17:00Z,5.47,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,2003-07-14T17:00Z,6.42,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,2003-08-14T17:00Z,6.58,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,2003-09-14T17:00Z,6.43,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,2003-10-14T17:00Z,6.58,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,2003-11-14T17:00Z,6.35,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,2003-12-14T17:00Z,7.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,2004-01-14T17:00Z,6.95,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,2004-02-14T17:00Z,6.34,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,2004-03-14T17:00Z,5.68,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,2004-04-14T17:00Z,6.03,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,2004-05-14T17:00Z,6.34,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,2004-06-14T17:00Z,5.34,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,2004-07-14T17:00Z,6.85,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Dissolved Oxygen,Measured,2004-08-14T17:00Z,6.75,mg/l,O,Raw - Not Yet Reviewed,Unverified data
