Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988314,Dissolved Oxygen,Measured,1991-08-14T17:00Z,7.263,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988314,Dissolved Oxygen,Measured,1991-09-14T17:00Z,4.452,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988314,Dissolved Oxygen,Measured,1991-10-14T17:00Z,6.803,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988314,Dissolved Oxygen,Measured,1991-11-14T17:00Z,7.807,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988314,Dissolved Oxygen,Measured,1991-12-14T17:00Z,2.96,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988314,Dissolved Oxygen,Measured,1992-01-14T17:00Z,3.4,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988314,Dissolved Oxygen,Measured,1992-02-14T17:00Z,4.15,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988314,Dissolved Oxygen,Measured,1992-03-14T17:00Z,4.29,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988314,Dissolved Oxygen,Measured,1992-04-14T17:00Z,2.83,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988314,Dissolved Oxygen,Measured,1992-05-14T17:00Z,4.4,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988314,Dissolved Oxygen,Measured,1992-06-14T17:00Z,4.05,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988314,Dissolved Oxygen,Measured,1992-07-14T17:00Z,4.3,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988314,Dissolved Oxygen,Measured,1992-08-14T17:00Z,5.34,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988314,Dissolved Oxygen,Measured,1992-11-14T17:00Z,2.796,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988314,Dissolved Oxygen,Measured,1992-12-14T17:00Z,1.56,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988314,Dissolved Oxygen,Measured,1993-01-14T17:00Z,4.93,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988314,Dissolved Oxygen,Measured,1993-02-14T17:00Z,4.11,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988314,Dissolved Oxygen,Measured,1993-03-14T17:00Z,4.46,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988314,Dissolved Oxygen,Measured,1993-04-14T17:00Z,5.5,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988314,Dissolved Oxygen,Measured,1993-05-14T17:00Z,5.91,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988314,Dissolved Oxygen,Measured,1993-06-14T17:00Z,3.46,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988314,Dissolved Oxygen,Measured,1993-08-14T17:00Z,5.35,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988314,Dissolved Oxygen,Measured,1993-09-14T17:00Z,6.46,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988314,Dissolved Oxygen,Measured,1993-10-14T17:00Z,5.09,mg/l,O,Raw - Not Yet Reviewed,Unverified data
