Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988315,Dissolved Oxygen,Measured,1991-08-14T17:00Z,7.749,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988315,Dissolved Oxygen,Measured,1991-09-14T17:00Z,5.087,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988315,Dissolved Oxygen,Measured,1991-10-14T17:00Z,7.364,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988315,Dissolved Oxygen,Measured,1991-11-14T17:00Z,7.015,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988315,Dissolved Oxygen,Measured,1991-12-14T17:00Z,3.563,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988315,Dissolved Oxygen,Measured,1992-01-14T17:00Z,4.82,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988315,Dissolved Oxygen,Measured,1992-02-14T17:00Z,4.95,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988315,Dissolved Oxygen,Measured,1992-03-14T17:00Z,5.17,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988315,Dissolved Oxygen,Measured,1992-04-14T17:00Z,2.79,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988315,Dissolved Oxygen,Measured,1992-05-14T17:00Z,5.12,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988315,Dissolved Oxygen,Measured,1992-06-14T17:00Z,4.78,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988315,Dissolved Oxygen,Measured,1992-07-14T17:00Z,4.63,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988315,Dissolved Oxygen,Measured,1992-08-14T17:00Z,4.25,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988315,Dissolved Oxygen,Measured,1992-10-14T17:00Z,4.74,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988315,Dissolved Oxygen,Measured,1992-11-14T17:00Z,3.46,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988315,Dissolved Oxygen,Measured,1992-12-14T17:00Z,1.622,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988315,Dissolved Oxygen,Measured,1993-01-14T17:00Z,4.46,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988315,Dissolved Oxygen,Measured,1993-02-14T17:00Z,4.17,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988315,Dissolved Oxygen,Measured,1993-03-14T17:00Z,4.28,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988315,Dissolved Oxygen,Measured,1993-04-14T17:00Z,3.88,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988315,Dissolved Oxygen,Measured,1993-05-14T17:00Z,5.65,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988315,Dissolved Oxygen,Measured,1993-06-14T17:00Z,4.9,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988315,Dissolved Oxygen,Measured,1993-08-14T17:00Z,5.42,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988315,Dissolved Oxygen,Measured,1993-09-14T17:00Z,5.13,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988315,Dissolved Oxygen,Measured,1993-10-14T17:00Z,4.71,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988315,Dissolved Oxygen,Measured,1993-11-14T17:00Z,4.58,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988315,Dissolved Oxygen,Measured,1993-12-14T17:00Z,5.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988315,Dissolved Oxygen,Measured,1994-01-14T17:00Z,5.17,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988315,Dissolved Oxygen,Measured,1994-02-14T17:00Z,3.2,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988315,Dissolved Oxygen,Measured,1994-03-14T17:00Z,5.73,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988315,Dissolved Oxygen,Measured,1994-04-14T17:00Z,6.11,mg/l,O,Raw - Not Yet Reviewed,Unverified data
