Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988316,Dissolved Oxygen,Measured,2005-01-14T17:00Z,5.19,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2005-02-14T17:00Z,6.02,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2005-03-14T17:00Z,5.44,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2005-04-14T17:00Z,5.69,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2005-05-14T17:00Z,6.55,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2005-06-14T17:00Z,6.05,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2005-07-14T17:00Z,6.66,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2005-08-14T17:00Z,6.82,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2005-09-14T17:00Z,6.72,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2005-10-14T17:00Z,7.12,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2005-11-14T17:00Z,6.52,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2005-12-14T17:00Z,5.5,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2006-01-14T17:00Z,5.8,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2006-02-14T17:00Z,5.61,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2006-03-14T17:00Z,5.44,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2006-04-14T17:00Z,5.81,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2006-06-14T17:00Z,5.66,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2006-07-14T17:00Z,5.57,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2006-09-14T17:00Z,5.2,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2006-10-14T17:00Z,5.73,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2006-11-14T17:00Z,5.14,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2006-12-14T17:00Z,6.27,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2007-01-14T17:00Z,6.68,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2007-02-14T17:00Z,3.67,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2007-03-14T17:00Z,2.23,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2007-04-14T17:00Z,4.51,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2007-05-14T17:00Z,5.08,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2007-06-14T17:00Z,4.7,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2007-07-14T17:00Z,5.89,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2007-08-14T17:00Z,6.26,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2007-09-14T17:00Z,5.87,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2007-10-14T17:00Z,5.69,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2007-11-14T17:00Z,7.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2007-12-14T17:00Z,5.9,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2008-01-14T17:00Z,5.45,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2008-02-14T17:00Z,4.36,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2008-03-14T17:00Z,5.85,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2008-04-14T17:00Z,5.36,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2008-05-14T17:00Z,5.43,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2008-06-14T17:00Z,6.23,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2008-07-14T17:00Z,5.61,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2008-08-14T17:00Z,5.27,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2008-09-14T17:00Z,6.14,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2008-10-14T17:00Z,5.75,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2008-11-14T17:00Z,5.72,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2008-12-14T17:00Z,5.82,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2009-01-14T17:00Z,4.9,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2009-02-14T17:00Z,2.68,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2009-03-14T17:00Z,3.1,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2009-04-14T17:00Z,3.77,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2009-05-14T17:00Z,5.43,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2009-06-14T17:00Z,6.23,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2009-07-14T17:00Z,5.61,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2009-08-14T17:00Z,5.27,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2009-09-14T17:00Z,6.14,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2009-10-14T17:00Z,5.75,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2009-11-14T17:00Z,5.72,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2009-12-14T17:00Z,5.93,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2010-01-14T17:00Z,4.18126702810707,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2010-02-14T17:00Z,4.17775940487868,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Dissolved Oxygen,Measured,2010-03-14T17:00Z,5.18250674115135,mg/l,O,Raw - Not Yet Reviewed,Unverified data
