Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,019813,Fish Count,FADM,2010-02-14T17:00Z,6.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,019813,Fish Count,FADM,2012-02-14T17:00Z,16.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,019813,Fish Count,FADM,2012-03-14T17:00Z,19.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,019813,Fish Count,FADM,2012-04-14T17:00Z,13.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,019813,Fish Count,FADM,2012-05-14T17:00Z,14.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,019813,Fish Count,FADM,2013-01-14T17:00Z,19.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,019813,Fish Count,FADM,2013-02-14T17:00Z,1.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,019813,Fish Count,FADM,2016-12-14T17:00Z,3.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,019813,Fish Count,FADM,2017-01-14T17:00Z,6.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,019813,Fish Count,FADM,2017-05-14T17:00Z,14.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,019813,Fish Count,FADM,2017-06-14T17:00Z,14.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,019813,Fish Count,FADM,2017-07-14T17:00Z,15.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,019813,Fish Count,FADM,2017-08-14T17:00Z,13.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,019813,Fish Count,FADM,2017-09-14T17:00Z,13.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,019813,Fish Count,FADM,2017-10-14T17:00Z,13.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,019813,Fish Count,FADM,2017-11-14T17:00Z,16.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,019813,Fish Count,FADM,2017-12-14T17:00Z,12.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,019813,Fish Count,FADM,2018-01-14T17:00Z,49.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,019813,Fish Count,FADM,2018-02-14T17:00Z,10.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,019813,Fish Count,FADM,2018-03-14T17:00Z,9.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,019813,Fish Count,FADM,2018-04-14T17:00Z,1173.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,019813,Fish Count,FADM,2018-05-14T17:00Z,2680.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,019813,Fish Count,FADM,2018-06-14T17:00Z,1275.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,019813,Fish Count,FADM,2018-07-14T17:00Z,1128.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,019813,Fish Count,FADM,2018-08-14T17:00Z,586.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,019813,Fish Count,FADM,2018-09-14T17:00Z,722.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,019813,Fish Count,FADM,2018-10-14T17:00Z,2198.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,019813,Fish Count,FADM,2018-11-14T17:00Z,1406.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,019813,Fish Count,FADM,2018-12-14T17:00Z,1295.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,019813,Fish Count,FADM,2019-01-14T17:00Z,2027.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,019813,Fish Count,FADM,2019-02-14T17:00Z,3591.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,019813,Fish Count,FADM,2019-03-14T17:00Z,3236.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,019813,Fish Count,FADM,2019-04-14T17:00Z,2275.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,019813,Fish Count,FADM,2019-05-14T17:00Z,2699.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,019813,Fish Count,FADM,2019-06-14T17:00Z,3061.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,019813,Fish Count,FADM,2019-07-14T17:00Z,3670.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,019813,Fish Count,FADM,2019-08-14T17:00Z,1486.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,019813,Fish Count,FADM,2019-09-14T17:00Z,1575.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,019813,Fish Count,FADM,2019-10-14T17:00Z,1554.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,019813,Fish Count,FADM,2019-11-14T17:00Z,3932.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,019813,Fish Count,FADM,2019-12-14T17:00Z,4189.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,019813,Fish Count,FADM,2020-01-14T17:00Z,1147.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,019813,Fish Count,FADM,2020-02-14T17:00Z,2986.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,019813,Fish Count,FADM,2020-03-14T17:00Z,1761.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,019813,Fish Count,FADM,2020-04-14T17:00Z,2063.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
