Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,986802,Fish Count,FADM,2011-09-14T17:00Z,141.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,986802,Fish Count,FADM,2011-10-14T17:00Z,390.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,986802,Fish Count,FADM,2011-11-14T17:00Z,381.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,986802,Fish Count,FADM,2011-12-14T17:00Z,436.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,986802,Fish Count,FADM,2012-01-14T17:00Z,291.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,986802,Fish Count,FADM,2012-02-14T17:00Z,1029.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,986802,Fish Count,FADM,2012-03-14T17:00Z,1162.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,986802,Fish Count,FADM,2012-04-14T17:00Z,1288.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,986802,Fish Count,FADM,2012-05-14T17:00Z,948.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,986802,Fish Count,FADM,2012-06-14T17:00Z,1565.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,986802,Fish Count,FADM,2012-07-14T17:00Z,1531.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,986802,Fish Count,FADM,2012-08-14T17:00Z,1545.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,986802,Fish Count,FADM,2012-09-14T17:00Z,1351.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,986802,Fish Count,FADM,2012-10-14T17:00Z,1396.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,986802,Fish Count,FADM,2012-11-14T17:00Z,1596.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,986802,Fish Count,FADM,2012-12-14T17:00Z,1619.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,986802,Fish Count,FADM,2013-01-14T17:00Z,1300.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,986802,Fish Count,FADM,2013-02-14T17:00Z,63.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,986802,Fish Count,FADM,2016-08-14T17:00Z,10.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,986802,Fish Count,FADM,2016-10-14T17:00Z,33.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,986802,Fish Count,FADM,2016-11-14T17:00Z,224.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
VN,986802,Fish Count,FADM,2016-12-14T17:00Z,173.0,Fish Count,O,Raw - Not Yet Reviewed,Unverified data
