Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,160705,Water Level,Manual,2008-12-08T06:00Z,80.28,m,O,Raw - Not Yet Reviewed,Unverified data
VN,160705,Water Level,Manual,2008-12-08T12:00Z,80.28,m,O,Raw - Not Yet Reviewed,Unverified data
VN,160705,Water Level,Manual,2009-09-25T18:00Z,24.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,160705,Water Level,Manual,2009-09-26T00:00Z,16.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,160705,Water Level,Manual,2009-09-26T06:00Z,8.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,160705,Water Level,Manual,2009-09-26T12:00Z,1.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,160705,Water Level,Manual,2009-09-27T00:00Z,1.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,160705,Water Level,Manual,2009-09-27T06:00Z,0.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,160705,Water Level,Manual,2009-09-27T12:00Z,0.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,160705,Water Level,Manual,2009-09-28T00:00Z,41.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,160705,Water Level,Manual,2009-09-28T06:00Z,62.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,160705,Water Level,Manual,2009-09-28T12:00Z,19.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,160705,Water Level,Manual,2009-09-28T18:00Z,20.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,160705,Water Level,Manual,2009-09-29T00:00Z,67.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,160705,Water Level,Manual,2009-09-29T06:00Z,68.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,160705,Water Level,Manual,2009-09-29T12:00Z,48.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,160705,Water Level,Manual,2009-09-29T18:00Z,45.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,160705,Water Level,Manual,2009-09-30T00:00Z,68.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,160705,Water Level,Manual,2009-09-30T06:00Z,21.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,160705,Water Level,Manual,2009-09-30T12:00Z,11.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,160705,Water Level,Manual,2009-09-30T18:00Z,3.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,160705,Water Level,Manual,2009-10-01T00:00Z,4.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,160705,Water Level,Manual,2009-10-01T06:00Z,13.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,160705,Water Level,Manual,2009-10-01T12:00Z,0.0,m,O,Raw - Not Yet Reviewed,Unverified data
