Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,180506,Water Level,Manual,2009-09-14T06:00Z,2.22,m,O,Raw - Not Yet Reviewed,Unverified data
VN,180506,Water Level,Manual,2009-09-14T12:00Z,3.33,m,O,Raw - Not Yet Reviewed,Unverified data
VN,180506,Water Level,Manual,2009-09-14T18:00Z,4.44,m,O,Raw - Not Yet Reviewed,Unverified data
VN,180506,Water Level,Manual,2009-09-15T00:00Z,5.55,m,O,Raw - Not Yet Reviewed,Unverified data
VN,180506,Water Level,Manual,2009-09-15T06:00Z,99.98,m,O,Raw - Not Yet Reviewed,Unverified data
VN,180506,Water Level,Manual,2009-09-15T12:00Z,99.9,m,O,Raw - Not Yet Reviewed,Unverified data
VN,180506,Water Level,Manual,2009-09-15T18:00Z,99.82,m,O,Raw - Not Yet Reviewed,Unverified data
VN,180506,Water Level,Manual,2009-09-16T00:00Z,99.7,m,O,Raw - Not Yet Reviewed,Unverified data
VN,180506,Water Level,Manual,2014-10-27T06:00Z,0.5,m,O,Raw - Not Yet Reviewed,Unverified data
VN,180506,Water Level,Manual,2014-10-27T12:00Z,0.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,180506,Water Level,Manual,2014-10-27T18:00Z,16.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,180506,Water Level,Manual,2014-10-28T00:00Z,0.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,180506,Water Level,Manual,2014-10-28T06:00Z,0.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,180506,Water Level,Manual,2014-10-28T12:00Z,0.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,180506,Water Level,Manual,2014-10-28T18:00Z,0.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,180506,Water Level,Manual,2014-10-29T00:00Z,0.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,180506,Water Level,Manual,2014-10-29T06:00Z,0.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,180506,Water Level,Manual,2014-10-29T12:00Z,0.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,180506,Water Level,Manual,2014-11-01T18:00Z,0.9,m,O,Raw - Not Yet Reviewed,Unverified data
VN,180506,Water Level,Manual,2014-11-02T00:00Z,0.9,m,O,Raw - Not Yet Reviewed,Unverified data
VN,180506,Water Level,Manual,2014-11-02T06:00Z,0.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,180506,Water Level,Manual,2014-11-02T12:00Z,0.0,m,O,Raw - Not Yet Reviewed,Unverified data
