Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,220201,Water Level,Manual,2010-10-09T18:00Z,4.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,220201,Water Level,Manual,2010-10-10T00:00Z,0.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,220201,Water Level,Manual,2010-10-10T06:00Z,4.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,220201,Water Level,Manual,2010-10-10T12:00Z,0.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,220201,Water Level,Manual,2010-10-12T18:00Z,2.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,220201,Water Level,Manual,2010-10-13T00:00Z,0.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,220201,Water Level,Manual,2010-10-13T06:00Z,0.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,220201,Water Level,Manual,2010-10-13T12:00Z,0.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,220201,Water Level,Manual,2010-10-14T00:00Z,3.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,220201,Water Level,Manual,2010-10-14T06:00Z,2.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,220201,Water Level,Manual,2010-10-14T12:00Z,1.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,220201,Water Level,Manual,2010-10-14T18:00Z,3.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,220201,Water Level,Manual,2010-10-15T00:00Z,10.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,220201,Water Level,Manual,2010-10-15T06:00Z,5.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,220201,Water Level,Manual,2010-10-15T12:00Z,3.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,220201,Water Level,Manual,2010-10-15T18:00Z,3.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,220201,Water Level,Manual,2010-10-16T00:00Z,1.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,220201,Water Level,Manual,2010-10-16T06:00Z,0.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,220201,Water Level,Manual,2010-10-16T12:00Z,0.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,220201,Water Level,Manual,2010-10-17T00:00Z,1.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,220201,Water Level,Manual,2010-10-17T06:00Z,0.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,220201,Water Level,Manual,2010-10-17T12:00Z,0.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,220201,Water Level,Manual,2010-10-17T18:00Z,0.1,m,O,Raw - Not Yet Reviewed,Unverified data
VN,220201,Water Level,Manual,2010-10-18T00:00Z,0.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,220201,Water Level,Manual,2010-10-18T06:00Z,0.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,220201,Water Level,Manual,2010-10-18T12:00Z,40.9,m,O,Raw - Not Yet Reviewed,Unverified data
VN,220201,Water Level,Manual,2010-10-18T18:00Z,78.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,220201,Water Level,Manual,2010-10-19T00:00Z,0.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,220201,Water Level,Manual,2010-10-19T06:00Z,0.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,220201,Water Level,Manual,2010-10-19T12:00Z,2.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,220201,Water Level,Manual,2010-10-23T00:00Z,0.1,m,O,Raw - Not Yet Reviewed,Unverified data
VN,220201,Water Level,Manual,2010-10-23T06:00Z,0.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,220201,Water Level,Manual,2010-10-23T12:00Z,0.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,220201,Water Level,Manual,2010-10-25T00:00Z,2.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,220201,Water Level,Manual,2010-10-25T06:00Z,0.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,220201,Water Level,Manual,2010-10-25T12:00Z,0.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,220201,Water Level,Manual,2010-11-10T06:00Z,3.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,220201,Water Level,Manual,2010-11-10T12:00Z,0.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,220201,Water Level,Manual,2010-12-10T06:00Z,0.1,m,O,Raw - Not Yet Reviewed,Unverified data
VN,220201,Water Level,Manual,2010-12-10T12:00Z,0.9,m,O,Raw - Not Yet Reviewed,Unverified data
VN,220201,Water Level,Manual,2018-05-05T06:00Z,0.9,m,O,Raw - Not Yet Reviewed,Unverified data
VN,220201,Water Level,Manual,2018-05-05T12:00Z,0.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,220201,Water Level,Manual,2018-05-07T06:00Z,0.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,220201,Water Level,Manual,2018-05-07T12:00Z,0.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,220201,Water Level,Manual,2018-05-09T12:00Z,4.0,m,O,Raw - Not Yet Reviewed,Unverified data
VN,220201,Water Level,Manual,2018-05-12T12:00Z,0.0,m,O,Raw - Not Yet Reviewed,Unverified data
