Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,019803,Water Temperature,Measured,2003-01-14T17:00Z,29.5,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2003-02-14T17:00Z,28.5,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2003-03-14T17:00Z,29.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2003-04-14T17:00Z,29.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2003-05-14T17:00Z,29.8,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2003-06-14T17:00Z,29.8,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2003-07-14T17:00Z,29.5,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2003-08-14T17:00Z,29.5,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2003-09-14T17:00Z,26.5,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2003-10-14T17:00Z,29.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2003-11-14T17:00Z,27.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2003-12-14T17:00Z,29.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2004-01-14T17:00Z,29.5,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2004-02-14T17:00Z,29.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2004-03-14T17:00Z,29.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2004-04-14T17:00Z,29.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2004-05-14T17:00Z,29.8,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2004-06-14T17:00Z,29.8,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2004-07-14T17:00Z,28.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2004-08-14T17:00Z,29.5,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2004-09-14T17:00Z,29.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2004-10-14T17:00Z,30.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2004-11-14T17:00Z,30.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2004-12-14T17:00Z,30.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2005-01-14T17:00Z,28.4,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2005-02-14T17:00Z,28.7,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2005-03-14T17:00Z,28.1,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2005-04-14T17:00Z,28.1,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2005-05-14T17:00Z,26.6,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2005-06-14T17:00Z,26.7,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2005-07-14T17:00Z,27.7,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2005-08-14T17:00Z,27.7,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2005-09-14T17:00Z,28.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2005-10-14T17:00Z,26.2,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2005-11-14T17:00Z,27.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2005-12-14T17:00Z,25.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2006-01-14T17:00Z,24.9,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2006-02-14T17:00Z,25.2,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2006-03-14T17:00Z,26.6,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2006-04-14T17:00Z,27.2,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2006-06-14T17:00Z,27.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2006-07-14T17:00Z,25.8,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2006-09-14T17:00Z,23.8,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2006-10-14T17:00Z,23.3,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2006-11-14T17:00Z,30.7,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2006-12-14T17:00Z,25.1,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2007-01-14T17:00Z,26.4,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2007-02-14T17:00Z,26.7,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2007-03-14T17:00Z,33.2,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2007-04-14T17:00Z,32.5,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2007-05-14T17:00Z,31.1,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2007-06-14T17:00Z,28.1,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2007-07-14T17:00Z,27.7,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2007-08-14T17:00Z,28.1,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2007-09-14T17:00Z,27.5,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2007-10-14T17:00Z,27.5,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2007-11-14T17:00Z,28.1,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2007-12-14T17:00Z,29.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2008-01-14T17:00Z,28.5,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2008-02-14T17:00Z,27.6,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2008-03-14T17:00Z,29.3,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2008-04-14T17:00Z,28.1,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2008-05-14T17:00Z,30.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2008-06-14T17:00Z,26.2,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2008-07-14T17:00Z,27.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2008-08-14T17:00Z,27.6,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2008-09-14T17:00Z,27.1,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2008-10-14T17:00Z,27.1,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2008-11-14T17:00Z,28.8,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2008-12-14T17:00Z,29.2,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2009-01-14T17:00Z,26.6,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2009-02-14T17:00Z,25.6,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2009-03-14T17:00Z,25.8,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2009-04-14T17:00Z,25.7,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2009-05-14T17:00Z,26.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2009-06-14T17:00Z,26.5,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2009-07-14T17:00Z,26.4,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2009-08-14T17:00Z,26.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2009-09-14T17:00Z,25.8,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2009-10-14T17:00Z,27.6,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2009-11-14T17:00Z,25.7,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2009-12-14T17:00Z,25.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2010-01-14T17:00Z,27.7,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2010-02-14T17:00Z,27.9,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2010-03-14T17:00Z,26.7,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2010-04-14T17:00Z,25.9,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2010-05-14T17:00Z,26.5,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2010-06-14T17:00Z,26.9,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2010-07-14T17:00Z,27.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2010-08-14T17:00Z,27.5,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2010-09-14T17:00Z,29.2,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2010-10-14T17:00Z,27.8,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2010-11-14T17:00Z,27.1,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2010-12-14T17:00Z,27.9,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2011-01-14T17:00Z,28.1,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2011-02-14T17:00Z,27.3,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2011-03-14T17:00Z,28.2,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2011-04-14T17:00Z,27.6,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2011-05-14T17:00Z,26.6,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2011-06-14T17:00Z,28.1,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2011-07-14T17:00Z,27.6,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2011-08-14T17:00Z,26.6,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2011-09-14T17:00Z,28.3,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2011-10-14T17:00Z,28.2,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2011-11-14T17:00Z,27.1,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2011-12-14T17:00Z,27.9,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2012-01-14T17:00Z,27.63,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2012-02-14T17:00Z,27.33,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2012-03-14T17:00Z,28.25,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2012-04-14T17:00Z,28.75,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2012-05-14T17:00Z,28.35,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2012-06-14T17:00Z,27.98,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2012-07-14T17:00Z,27.82,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2012-08-14T17:00Z,28.31,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2012-09-14T17:00Z,27.4,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2012-10-14T17:00Z,27.53,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2012-11-14T17:00Z,27.67,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2012-12-14T17:00Z,27.11,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2013-01-14T17:00Z,27.9,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2013-02-14T17:00Z,27.4,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2013-03-14T17:00Z,28.6,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2013-04-14T17:00Z,29.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2013-05-14T17:00Z,27.8,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2013-06-14T17:00Z,27.8,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2013-07-14T17:00Z,28.6,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2013-08-14T17:00Z,27.7,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2013-09-14T17:00Z,28.8,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2013-10-14T17:00Z,28.4,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2013-11-14T17:00Z,27.4,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2013-12-14T17:00Z,28.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2014-01-14T17:00Z,27.7,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2014-02-14T17:00Z,29.3,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019803,Water Temperature,Measured,2014-03-14T17:00Z,28.6,degC,O,Raw - Not Yet Reviewed,Unverified data
