Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,019804,Water Temperature,Measured,2003-01-14T17:00Z,28.5,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Water Temperature,Measured,2003-02-14T17:00Z,29.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Water Temperature,Measured,2003-03-14T17:00Z,30.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Water Temperature,Measured,2003-04-14T17:00Z,28.5,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Water Temperature,Measured,2003-05-14T17:00Z,28.6,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Water Temperature,Measured,2003-06-14T17:00Z,28.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Water Temperature,Measured,2003-07-14T17:00Z,29.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Water Temperature,Measured,2003-08-14T17:00Z,28.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Water Temperature,Measured,2003-09-14T17:00Z,26.5,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Water Temperature,Measured,2003-10-14T17:00Z,27.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Water Temperature,Measured,2003-11-14T17:00Z,28.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Water Temperature,Measured,2003-12-14T17:00Z,28.5,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Water Temperature,Measured,2004-01-14T17:00Z,28.5,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Water Temperature,Measured,2004-02-14T17:00Z,30.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Water Temperature,Measured,2004-03-14T17:00Z,30.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Water Temperature,Measured,2004-04-14T17:00Z,28.5,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Water Temperature,Measured,2004-05-14T17:00Z,28.6,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Water Temperature,Measured,2004-06-14T17:00Z,28.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Water Temperature,Measured,2004-07-14T17:00Z,29.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Water Temperature,Measured,2004-08-14T17:00Z,29.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Water Temperature,Measured,2004-09-14T17:00Z,29.8,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Water Temperature,Measured,2004-10-14T17:00Z,29.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Water Temperature,Measured,2004-11-14T17:00Z,29.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Water Temperature,Measured,2004-12-14T17:00Z,31.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Water Temperature,Measured,2005-01-14T17:00Z,27.3,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Water Temperature,Measured,2005-02-14T17:00Z,27.5,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Water Temperature,Measured,2005-03-14T17:00Z,28.9,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Water Temperature,Measured,2005-04-14T17:00Z,29.6,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Water Temperature,Measured,2005-05-14T17:00Z,29.0,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Water Temperature,Measured,2005-06-14T17:00Z,27.4,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Water Temperature,Measured,2005-07-14T17:00Z,28.4,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Water Temperature,Measured,2005-08-14T17:00Z,27.9,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Water Temperature,Measured,2005-09-14T17:00Z,28.4,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Water Temperature,Measured,2005-10-14T17:00Z,24.7,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Water Temperature,Measured,2005-11-14T17:00Z,26.3,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Water Temperature,Measured,2005-12-14T17:00Z,24.4,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Water Temperature,Measured,2006-01-14T17:00Z,25.7,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Water Temperature,Measured,2006-02-14T17:00Z,25.3,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Water Temperature,Measured,2006-03-14T17:00Z,27.2,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Water Temperature,Measured,2006-04-14T17:00Z,28.3,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Water Temperature,Measured,2006-06-14T17:00Z,26.4,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Water Temperature,Measured,2006-07-14T17:00Z,26.3,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Water Temperature,Measured,2006-09-14T17:00Z,24.4,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Water Temperature,Measured,2006-10-14T17:00Z,24.2,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Water Temperature,Measured,2006-11-14T17:00Z,28.3,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Water Temperature,Measured,2006-12-14T17:00Z,26.1,degC,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Water Temperature,Measured,2007-01-14T17:00Z,26.3,degC,O,Raw - Not Yet Reviewed,Unverified data
