Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,029812,pH,Measured,2004-07-14T17:00Z,6.94,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2004-07-15T05:00Z,6.93,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2004-08-14T17:00Z,6.93,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2004-08-15T05:00Z,6.92,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2004-09-14T17:00Z,7.02,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2004-09-15T05:00Z,6.9,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2004-10-14T17:00Z,7.02,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2004-10-15T05:00Z,6.92,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2004-11-14T17:00Z,7.02,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2004-11-15T05:00Z,6.91,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2004-12-14T17:00Z,7.1,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2004-12-15T05:00Z,7.18,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2005-01-14T17:00Z,7.02,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2005-01-15T05:00Z,7.22,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2005-02-14T17:00Z,7.07,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2005-02-15T05:00Z,7.12,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2005-03-14T17:00Z,7.04,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2005-03-15T05:00Z,6.76,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2005-04-14T17:00Z,7.01,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2005-04-15T05:00Z,7.46,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2005-05-14T17:00Z,7.15,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2005-05-15T05:00Z,6.82,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2005-06-14T17:00Z,6.87,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2005-06-15T05:00Z,7.28,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2005-07-14T17:00Z,6.86,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2005-07-15T05:00Z,6.92,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2005-08-14T17:00Z,6.95,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2005-08-15T05:00Z,7.14,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2005-09-14T17:00Z,6.96,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2005-09-15T05:00Z,6.93,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2005-10-14T17:00Z,7.28,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2005-10-15T05:00Z,6.87,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2005-11-14T17:00Z,6.82,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2005-11-15T05:00Z,6.98,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2005-12-14T17:00Z,7.14,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2005-12-15T05:00Z,7.22,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2006-01-14T17:00Z,6.97,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2006-01-15T05:00Z,6.83,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2006-02-14T17:00Z,6.97,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2006-02-15T05:00Z,7.11,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2006-03-14T17:00Z,7.59,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2006-03-15T05:00Z,7.12,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2006-04-14T17:00Z,6.89,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2006-04-15T05:00Z,6.96,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2006-05-14T17:00Z,7.11,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2006-05-15T05:00Z,6.72,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2006-06-14T17:00Z,6.9,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2006-06-15T05:00Z,6.96,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2006-07-14T17:00Z,6.57,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2006-07-15T05:00Z,6.74,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2006-08-14T17:00Z,6.85,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2006-08-15T05:00Z,6.83,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2006-09-14T17:00Z,7.16,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2006-09-15T05:00Z,6.95,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2006-10-14T17:00Z,7.1,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2006-10-15T05:00Z,6.98,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2006-11-14T17:00Z,6.45,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2006-11-15T05:00Z,6.67,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2006-12-14T17:00Z,7.18,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2006-12-15T05:00Z,7.11,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2007-01-14T17:00Z,6.6,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2007-01-15T05:00Z,6.75,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2007-02-14T17:00Z,7.0,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2007-02-15T05:00Z,6.87,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2007-03-14T17:00Z,7.19,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2007-03-15T05:00Z,7.12,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2007-04-14T17:00Z,7.02,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2007-04-15T05:00Z,7.3,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2007-05-14T17:00Z,7.12,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2007-05-15T05:00Z,6.95,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2007-06-14T17:00Z,7.08,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2007-06-15T05:00Z,6.98,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2007-07-14T17:00Z,6.6,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2007-07-15T05:00Z,6.64,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2007-08-14T17:00Z,6.1,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2007-08-15T05:00Z,6.59,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2007-09-14T17:00Z,6.74,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2007-09-15T05:00Z,6.55,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2007-10-14T17:00Z,6.49,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2007-10-15T05:00Z,6.56,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2007-11-14T17:00Z,6.42,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2007-11-15T05:00Z,6.4,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2007-12-14T17:00Z,6.26,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2007-12-15T05:00Z,6.37,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2008-01-14T17:00Z,6.58,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2008-01-15T05:00Z,6.89,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2008-02-14T17:00Z,6.38,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2008-02-15T05:00Z,6.52,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2008-03-14T17:00Z,6.7,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2008-03-15T05:00Z,7.1,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2008-04-14T17:00Z,6.9,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2008-04-15T05:00Z,7.11,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2008-05-14T17:00Z,7.21,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2008-05-15T05:00Z,6.92,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2008-06-14T17:00Z,6.6,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2008-06-15T05:00Z,6.46,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2008-07-14T17:00Z,6.5,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2008-07-15T05:00Z,6.79,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2008-08-14T17:00Z,6.51,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2008-08-15T05:00Z,6.55,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2008-09-14T17:00Z,6.32,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2008-09-15T05:00Z,6.51,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2008-10-14T17:00Z,6.51,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2008-10-15T05:00Z,6.49,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2008-11-14T17:00Z,6.74,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2008-11-15T05:00Z,6.62,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2008-12-14T17:00Z,6.63,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2008-12-15T05:00Z,6.58,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2009-01-14T17:00Z,6.76,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2009-01-15T05:00Z,6.7,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2009-02-14T17:00Z,6.7,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2009-02-15T05:00Z,6.58,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2009-03-14T17:00Z,6.9,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2009-03-15T05:00Z,7.1,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2009-04-14T17:00Z,6.74,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2009-04-15T05:00Z,6.59,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2009-05-14T17:00Z,6.6,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2009-05-15T05:00Z,7.14,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2009-06-14T17:00Z,6.75,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,pH,Measured,2009-06-15T05:00Z,6.75,pH Units,O,Raw - Not Yet Reviewed,Unverified data
