Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,039803,pH,Measured,1985-05-14T17:00Z,7.8,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1985-06-14T17:00Z,7.34,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1985-07-14T17:00Z,7.65,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1985-08-14T17:00Z,7.79,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1985-09-14T17:00Z,7.35,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1985-10-14T17:00Z,7.6,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1985-11-14T17:00Z,7.34,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1985-12-14T17:00Z,7.55,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1986-01-14T17:00Z,7.54,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1986-02-14T17:00Z,7.79,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1986-03-14T17:00Z,7.86,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1986-04-14T17:00Z,7.68,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1986-05-14T17:00Z,7.89,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1986-06-14T17:00Z,7.76,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1986-07-14T17:00Z,7.82,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1986-08-14T17:00Z,7.58,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1986-09-14T17:00Z,7.34,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1986-10-14T17:00Z,7.26,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1986-11-14T17:00Z,7.32,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1986-12-14T17:00Z,7.6,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1987-01-14T17:00Z,7.29,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1987-02-14T17:00Z,7.72,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1987-03-14T17:00Z,7.84,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1987-04-14T17:00Z,8.12,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1987-05-14T17:00Z,7.53,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1987-06-14T17:00Z,7.66,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1987-07-14T17:00Z,7.21,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1987-08-14T17:00Z,7.19,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1987-09-14T17:00Z,7.48,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1987-10-14T17:00Z,7.47,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1987-11-14T17:00Z,7.22,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1987-12-14T17:00Z,7.47,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1988-01-14T17:00Z,7.53,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1988-02-14T17:00Z,7.61,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1988-03-14T17:00Z,7.69,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1988-04-14T17:00Z,7.84,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1988-05-14T17:00Z,7.52,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1988-06-14T17:00Z,7.54,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1988-07-14T17:00Z,7.49,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1988-08-14T17:00Z,7.37,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1988-09-14T17:00Z,7.75,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1988-10-14T17:00Z,7.44,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1988-11-14T17:00Z,7.52,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1988-12-14T17:00Z,7.41,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1989-01-14T17:00Z,7.71,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1989-02-14T17:00Z,7.75,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1989-03-14T17:00Z,7.89,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1989-04-14T17:00Z,7.78,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1989-05-14T17:00Z,7.86,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1989-06-14T17:00Z,7.48,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1989-07-14T17:00Z,7.42,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1989-08-14T17:00Z,7.44,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1989-09-14T17:00Z,7.42,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1989-10-14T17:00Z,7.67,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1989-11-14T17:00Z,7.15,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1989-12-14T17:00Z,7.41,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1990-01-14T17:00Z,7.3,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1990-02-14T17:00Z,8.19,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1990-03-14T17:00Z,7.76,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1990-04-14T17:00Z,7.71,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1990-05-14T17:00Z,7.54,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1990-06-14T17:00Z,7.25,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1990-07-14T17:00Z,7.53,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1990-08-14T17:00Z,7.57,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1990-09-14T17:00Z,7.02,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1990-10-14T17:00Z,6.8,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1990-11-14T17:00Z,6.69,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1990-12-14T17:00Z,7.16,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1991-01-14T17:00Z,7.21,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1991-02-14T17:00Z,6.87,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1991-03-14T17:00Z,7.43,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1991-04-14T17:00Z,7.36,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1991-05-14T17:00Z,7.6,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1991-06-14T17:00Z,7.35,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,pH,Measured,1991-07-14T17:00Z,7.4,pH Units,O,Raw - Not Yet Reviewed,Unverified data
