Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,039805,pH,Measured,1985-06-14T17:00Z,7.35,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1985-07-14T17:00Z,7.61,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1985-08-14T17:00Z,7.96,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1985-09-14T17:00Z,7.48,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1985-10-14T17:00Z,7.52,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1985-11-14T17:00Z,7.45,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1985-12-14T17:00Z,7.42,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1986-01-14T17:00Z,7.36,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1986-02-14T17:00Z,7.59,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1986-03-14T17:00Z,7.63,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1986-04-14T17:00Z,7.67,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1986-05-14T17:00Z,7.75,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1986-06-14T17:00Z,7.51,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1986-07-14T17:00Z,7.71,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1986-08-14T17:00Z,7.42,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1986-09-14T17:00Z,7.3,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1986-10-14T17:00Z,7.1,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1986-11-14T17:00Z,7.33,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1986-12-14T17:00Z,7.23,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1987-01-14T17:00Z,7.13,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1987-02-14T17:00Z,7.93,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1987-03-14T17:00Z,7.96,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1987-04-14T17:00Z,7.8,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1987-05-14T17:00Z,7.44,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1987-06-14T17:00Z,7.65,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1987-07-14T17:00Z,7.21,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1987-08-14T17:00Z,7.02,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1987-09-14T17:00Z,7.34,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1987-10-14T17:00Z,7.39,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1987-11-14T17:00Z,7.07,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1987-12-14T17:00Z,7.04,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1988-01-14T17:00Z,7.26,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1988-02-14T17:00Z,7.45,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1988-03-14T17:00Z,7.52,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1988-04-14T17:00Z,7.59,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1988-05-14T17:00Z,7.6,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1988-06-14T17:00Z,7.42,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1988-07-14T17:00Z,7.29,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1988-08-14T17:00Z,7.43,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1988-09-14T17:00Z,7.25,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1988-10-14T17:00Z,7.29,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1988-11-14T17:00Z,7.35,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1988-12-14T17:00Z,7.11,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1989-01-14T17:00Z,7.46,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1989-02-14T17:00Z,7.8,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1989-03-14T17:00Z,7.35,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1989-04-14T17:00Z,7.37,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1989-05-14T17:00Z,7.59,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1989-06-14T17:00Z,7.41,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1989-07-14T17:00Z,6.92,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1989-08-14T17:00Z,7.33,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1989-09-14T17:00Z,7.08,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1989-10-14T17:00Z,7.51,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1989-11-14T17:00Z,7.39,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1989-12-14T17:00Z,7.2,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1990-01-14T17:00Z,7.49,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1990-02-14T17:00Z,8.27,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1990-03-14T17:00Z,7.47,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1990-04-14T17:00Z,7.54,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1990-05-14T17:00Z,7.42,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1990-06-14T17:00Z,7.4,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1990-07-14T17:00Z,7.44,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1990-08-14T17:00Z,7.58,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1990-09-14T17:00Z,7.21,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1990-10-14T17:00Z,3.78,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1990-11-14T17:00Z,6.76,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1990-12-14T17:00Z,7.24,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1991-01-14T17:00Z,7.36,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1991-02-14T17:00Z,6.56,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1991-03-14T17:00Z,7.4,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1991-04-14T17:00Z,7.44,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1991-05-14T17:00Z,7.51,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1991-06-14T17:00Z,7.29,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1991-07-14T17:00Z,6.99,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1991-08-14T17:00Z,7.33,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1991-09-14T17:00Z,7.39,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1991-10-14T17:00Z,6.68,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1991-11-14T17:00Z,7.13,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1991-12-14T17:00Z,7.23,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1992-01-14T17:00Z,7.07,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1992-02-14T17:00Z,7.65,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1992-03-14T17:00Z,7.72,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1992-04-14T17:00Z,7.51,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1992-05-14T17:00Z,7.62,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1992-06-14T17:00Z,7.48,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1992-07-14T17:00Z,7.13,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1992-08-14T17:00Z,7.0,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1992-09-14T17:00Z,7.04,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1992-10-14T17:00Z,7.03,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1992-11-14T17:00Z,7.32,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1992-12-14T17:00Z,7.2,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1993-01-14T17:00Z,7.29,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1993-02-14T17:00Z,7.21,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1993-03-14T17:00Z,7.35,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1993-04-14T17:00Z,7.56,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1993-05-14T17:00Z,7.49,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1993-06-14T17:00Z,7.47,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1993-07-14T17:00Z,6.99,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1993-08-14T17:00Z,6.78,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1993-09-14T17:00Z,7.29,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1993-10-14T17:00Z,7.13,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1993-11-14T17:00Z,7.19,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1993-12-14T17:00Z,6.88,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1994-01-14T17:00Z,7.17,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1994-02-14T17:00Z,7.39,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1994-03-14T17:00Z,7.6,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1994-04-14T17:00Z,7.39,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1994-05-14T17:00Z,7.49,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1994-06-14T17:00Z,7.25,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1994-07-14T17:00Z,7.21,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1994-08-14T17:00Z,7.23,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1994-09-14T17:00Z,7.12,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1994-10-14T17:00Z,6.67,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1994-11-14T17:00Z,6.8,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1994-12-14T17:00Z,7.07,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1995-01-14T17:00Z,7.29,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1995-02-14T17:00Z,7.28,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1995-03-14T17:00Z,7.32,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1995-04-14T17:00Z,7.31,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1995-05-14T17:00Z,7.67,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1995-06-14T17:00Z,7.5,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1995-07-14T17:00Z,6.84,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1995-08-14T17:00Z,7.1,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1995-09-14T17:00Z,7.08,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1995-10-14T17:00Z,6.98,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1995-11-14T17:00Z,6.97,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1995-12-14T17:00Z,6.94,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1996-01-14T17:00Z,7.26,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1996-02-14T17:00Z,7.08,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1996-03-14T17:00Z,7.16,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1996-04-14T17:00Z,7.97,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1996-05-14T17:00Z,7.57,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1996-06-14T17:00Z,6.87,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1996-07-14T17:00Z,7.67,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1996-08-14T17:00Z,7.07,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1996-09-14T17:00Z,7.96,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1996-10-14T17:00Z,7.53,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1996-11-14T17:00Z,6.86,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1996-12-14T17:00Z,6.96,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1997-01-14T17:00Z,7.57,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1997-02-14T17:00Z,7.14,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1997-03-14T17:00Z,7.7,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1997-04-14T17:00Z,7.13,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1997-05-14T17:00Z,7.55,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1997-06-14T17:00Z,7.15,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1997-07-14T17:00Z,7.39,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1997-08-14T17:00Z,7.0,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1997-09-14T17:00Z,6.91,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1997-10-14T17:00Z,6.99,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1997-11-14T17:00Z,6.92,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1997-12-14T17:00Z,7.23,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1998-01-14T17:00Z,7.16,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1998-02-14T17:00Z,7.32,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1998-03-14T17:00Z,7.4,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1998-04-14T17:00Z,7.42,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1998-05-14T17:00Z,7.93,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1998-06-14T17:00Z,7.57,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1998-07-14T17:00Z,7.38,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1998-08-14T17:00Z,7.18,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1998-09-14T17:00Z,7.41,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1998-10-14T17:00Z,7.12,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1998-11-14T17:00Z,6.95,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1998-12-14T17:00Z,6.82,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1999-01-14T17:00Z,7.48,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1999-02-14T17:00Z,7.21,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1999-03-14T17:00Z,7.15,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1999-04-14T17:00Z,7.21,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1999-05-14T17:00Z,7.03,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1999-06-14T17:00Z,7.03,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1999-07-14T17:00Z,7.22,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1999-08-14T17:00Z,7.55,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1999-09-14T17:00Z,7.0,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1999-10-14T17:00Z,7.07,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1999-11-14T17:00Z,7.0,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,1999-12-14T17:00Z,6.85,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,2000-01-14T17:00Z,7.14,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,2000-02-14T17:00Z,7.07,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,2000-03-14T17:00Z,7.35,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,2000-04-14T17:00Z,7.59,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,2000-05-14T17:00Z,6.67,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,2000-06-14T17:00Z,7.02,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,2000-07-14T17:00Z,7.27,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,2000-08-14T17:00Z,7.23,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,2000-09-14T17:00Z,6.99,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,2000-10-14T17:00Z,7.67,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,2000-11-14T17:00Z,7.19,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,pH,Measured,2000-12-14T17:00Z,7.01,pH Units,O,Raw - Not Yet Reviewed,Unverified data
