Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,440201,pH,Measured,1992-03-14T17:00Z,7.41,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,440201,pH,Measured,1992-04-14T17:00Z,6.75,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,440201,pH,Measured,1992-05-14T17:00Z,7.01,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,440201,pH,Measured,1992-06-14T17:00Z,6.68,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,440201,pH,Measured,1992-07-14T17:00Z,7.08,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,440201,pH,Measured,1992-08-14T17:00Z,7.19,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,440201,pH,Measured,1992-09-14T17:00Z,7.31,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,440201,pH,Measured,1992-11-14T17:00Z,6.61,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,440201,pH,Measured,1992-12-14T17:00Z,7.19,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,440201,pH,Measured,1993-01-14T17:00Z,7.11,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,440201,pH,Measured,1993-03-14T17:00Z,7.32,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,440201,pH,Measured,1993-04-14T17:00Z,7.08,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,440201,pH,Measured,1993-06-14T17:00Z,7.23,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,440201,pH,Measured,1993-07-14T17:00Z,7.24,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,440201,pH,Measured,1993-08-14T17:00Z,7.07,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,440201,pH,Measured,1993-09-14T17:00Z,6.99,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,440201,pH,Measured,1993-10-14T17:00Z,7.47,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,440201,pH,Measured,1993-11-14T17:00Z,7.47,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,440201,pH,Measured,1993-12-14T17:00Z,7.28,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,440201,pH,Measured,1994-01-14T17:00Z,7.09,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,440201,pH,Measured,1994-02-14T17:00Z,7.29,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,440201,pH,Measured,1994-03-14T17:00Z,7.18,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,440201,pH,Measured,1994-04-14T17:00Z,7.11,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,440201,pH,Measured,1994-05-14T17:00Z,7.19,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,440201,pH,Measured,1994-06-14T17:00Z,7.15,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,440201,pH,Measured,1994-07-14T17:00Z,6.83,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,440201,pH,Measured,1994-08-14T17:00Z,6.94,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,440201,pH,Measured,1994-09-14T17:00Z,6.67,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,440201,pH,Measured,1994-10-14T17:00Z,6.88,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,440201,pH,Measured,1994-11-14T17:00Z,7.08,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,440201,pH,Measured,1994-12-14T17:00Z,7.17,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,440201,pH,Measured,1995-01-14T17:00Z,7.05,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,440201,pH,Measured,1995-02-14T17:00Z,7.01,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,440201,pH,Measured,1995-03-14T17:00Z,6.94,pH Units,O,Raw - Not Yet Reviewed,Unverified data
