Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,450302,pH,Measured,1992-01-14T17:00Z,7.41,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450302,pH,Measured,1992-02-14T17:00Z,7.31,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450302,pH,Measured,1992-03-14T17:00Z,7.54,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450302,pH,Measured,1992-04-14T17:00Z,7.43,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450302,pH,Measured,1992-05-14T17:00Z,7.25,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450302,pH,Measured,1992-06-14T17:00Z,7.3,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450302,pH,Measured,1992-08-14T17:00Z,7.15,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450302,pH,Measured,1992-09-14T17:00Z,7.18,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450302,pH,Measured,1992-10-14T17:00Z,7.31,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450302,pH,Measured,1992-11-14T17:00Z,7.16,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450302,pH,Measured,1992-12-14T17:00Z,7.22,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450302,pH,Measured,1993-01-14T17:00Z,7.42,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450302,pH,Measured,1993-02-14T17:00Z,7.4,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450302,pH,Measured,1993-03-14T17:00Z,7.55,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450302,pH,Measured,1993-04-14T17:00Z,7.52,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450302,pH,Measured,1993-05-14T17:00Z,7.45,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450302,pH,Measured,1993-06-14T17:00Z,7.32,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450302,pH,Measured,1993-07-14T17:00Z,7.12,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450302,pH,Measured,1993-08-14T17:00Z,7.25,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450302,pH,Measured,1993-09-14T17:00Z,7.21,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450302,pH,Measured,1993-10-14T17:00Z,6.87,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450302,pH,Measured,1993-11-14T17:00Z,6.94,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450302,pH,Measured,1993-12-14T17:00Z,7.34,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450302,pH,Measured,1994-01-14T17:00Z,7.16,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450302,pH,Measured,1994-02-14T17:00Z,7.12,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450302,pH,Measured,1994-03-14T17:00Z,6.96,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450302,pH,Measured,1994-04-14T17:00Z,6.99,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450302,pH,Measured,1994-05-14T17:00Z,7.24,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450302,pH,Measured,1994-06-14T17:00Z,7.24,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450302,pH,Measured,1994-07-14T17:00Z,6.84,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450302,pH,Measured,1994-08-14T17:00Z,6.98,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450302,pH,Measured,1994-09-14T17:00Z,7.04,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450302,pH,Measured,1994-10-14T17:00Z,7.02,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450302,pH,Measured,1994-11-14T17:00Z,7.18,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450302,pH,Measured,1994-12-14T17:00Z,6.79,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450302,pH,Measured,1995-01-14T17:00Z,7.58,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450302,pH,Measured,1995-02-14T17:00Z,7.62,pH Units,O,Raw - Not Yet Reviewed,Unverified data
