Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,450500,pH,Measured,1992-01-14T17:00Z,7.89,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,pH,Measured,1992-02-14T17:00Z,7.9,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,pH,Measured,1992-03-14T17:00Z,7.65,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,pH,Measured,1992-04-14T17:00Z,7.7,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,pH,Measured,1992-05-14T17:00Z,5.37,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,pH,Measured,1992-06-14T17:00Z,7.59,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,pH,Measured,1992-08-14T17:00Z,7.44,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,pH,Measured,1992-09-14T17:00Z,7.53,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,pH,Measured,1992-10-14T17:00Z,7.86,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,pH,Measured,1992-11-14T17:00Z,7.61,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,pH,Measured,1992-12-14T17:00Z,7.49,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,pH,Measured,1993-01-14T17:00Z,7.77,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,pH,Measured,1993-02-14T17:00Z,7.73,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,pH,Measured,1993-03-14T17:00Z,7.63,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,pH,Measured,1993-04-14T17:00Z,7.62,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,pH,Measured,1993-05-14T17:00Z,7.55,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,pH,Measured,1993-06-14T17:00Z,6.97,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,pH,Measured,1993-07-14T17:00Z,7.17,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,pH,Measured,1993-08-14T17:00Z,7.24,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,pH,Measured,1993-09-14T17:00Z,7.22,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,pH,Measured,1993-10-14T17:00Z,6.89,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,pH,Measured,1993-11-14T17:00Z,7.04,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,pH,Measured,1993-12-14T17:00Z,7.67,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,pH,Measured,1994-01-14T17:00Z,7.52,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,pH,Measured,1994-02-14T17:00Z,7.04,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,pH,Measured,1994-03-14T17:00Z,7.25,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,pH,Measured,1994-04-14T17:00Z,7.2,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,pH,Measured,1994-05-14T17:00Z,7.15,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,pH,Measured,1994-06-14T17:00Z,7.05,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,pH,Measured,1994-07-14T17:00Z,7.3,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,pH,Measured,1994-08-14T17:00Z,7.65,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,pH,Measured,1994-09-14T17:00Z,7.44,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,pH,Measured,1994-10-14T17:00Z,7.76,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,pH,Measured,1994-11-14T17:00Z,7.63,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,pH,Measured,1994-12-14T17:00Z,7.24,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,pH,Measured,1995-01-14T17:00Z,8.13,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450500,pH,Measured,1995-02-14T17:00Z,7.96,pH Units,O,Raw - Not Yet Reviewed,Unverified data
