Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,450502,pH,Measured,1993-01-14T17:00Z,7.12,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450502,pH,Measured,1993-02-14T17:00Z,7.12,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450502,pH,Measured,1993-03-14T17:00Z,7.19,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450502,pH,Measured,1993-04-14T17:00Z,7.29,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450502,pH,Measured,1993-05-14T17:00Z,7.32,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450502,pH,Measured,1993-06-14T17:00Z,6.96,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450502,pH,Measured,1993-07-14T17:00Z,6.66,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450502,pH,Measured,1993-08-14T17:00Z,7.03,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450502,pH,Measured,1993-09-14T17:00Z,6.89,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450502,pH,Measured,1993-10-14T17:00Z,6.31,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450502,pH,Measured,1993-11-14T17:00Z,6.61,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450502,pH,Measured,1993-12-14T17:00Z,6.78,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450502,pH,Measured,1994-01-14T17:00Z,6.78,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450502,pH,Measured,1994-02-14T17:00Z,7.04,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450502,pH,Measured,1994-03-14T17:00Z,7.0,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450502,pH,Measured,1994-04-14T17:00Z,6.99,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450502,pH,Measured,1994-05-14T17:00Z,7.04,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450502,pH,Measured,1994-06-14T17:00Z,6.87,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450502,pH,Measured,1994-07-14T17:00Z,7.02,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450502,pH,Measured,1994-08-14T17:00Z,7.07,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450502,pH,Measured,1994-09-14T17:00Z,7.21,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450502,pH,Measured,1994-10-14T17:00Z,7.05,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450502,pH,Measured,1994-11-14T17:00Z,7.11,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450502,pH,Measured,1994-12-14T17:00Z,6.47,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450502,pH,Measured,1995-01-14T17:00Z,7.72,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,450502,pH,Measured,1995-02-14T17:00Z,7.65,pH Units,O,Raw - Not Yet Reviewed,Unverified data
