Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,451305,pH,Measured,2004-07-14T17:00Z,7.13,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,pH,Measured,2004-08-14T17:00Z,7.23,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,pH,Measured,2004-09-14T17:00Z,7.18,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,pH,Measured,2004-10-14T17:00Z,7.06,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,pH,Measured,2004-11-14T17:00Z,7.26,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,pH,Measured,2004-12-14T17:00Z,7.26,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,pH,Measured,2005-01-14T17:00Z,7.26,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,pH,Measured,2005-02-14T17:00Z,7.28,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,pH,Measured,2005-03-14T17:00Z,7.63,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,pH,Measured,2005-04-14T17:00Z,7.34,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,pH,Measured,2005-05-14T17:00Z,7.38,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,pH,Measured,2005-06-14T17:00Z,7.4,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,pH,Measured,2005-07-14T17:00Z,7.48,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,pH,Measured,2005-08-14T17:00Z,7.74,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,pH,Measured,2005-09-14T17:00Z,6.97,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,pH,Measured,2005-10-14T17:00Z,7.2,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,pH,Measured,2005-11-14T17:00Z,7.2,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,pH,Measured,2005-12-14T17:00Z,7.4,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,pH,Measured,2006-01-14T17:00Z,6.87,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,pH,Measured,2006-02-14T17:00Z,6.69,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,pH,Measured,2006-03-14T17:00Z,7.3,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,pH,Measured,2006-04-14T17:00Z,7.53,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,pH,Measured,2006-05-14T17:00Z,6.65,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,pH,Measured,2006-06-14T17:00Z,6.73,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,pH,Measured,2006-07-14T17:00Z,7.08,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,pH,Measured,2006-08-14T17:00Z,6.8,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,pH,Measured,2006-09-14T17:00Z,7.06,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,pH,Measured,2006-10-14T17:00Z,7.04,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,pH,Measured,2006-11-14T17:00Z,6.54,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,pH,Measured,2006-12-14T17:00Z,7.15,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,pH,Measured,2007-01-14T17:00Z,7.3,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,pH,Measured,2007-02-14T17:00Z,6.78,pH Units,O,Raw - Not Yet Reviewed,Unverified data
