Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988102,pH,Measured,1986-03-14T17:00Z,7.29,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1986-04-14T17:00Z,6.92,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1986-05-14T17:00Z,6.34,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1986-06-14T17:00Z,7.3,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1986-07-14T17:00Z,7.45,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1986-08-14T17:00Z,7.33,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1986-09-14T17:00Z,7.33,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1986-10-14T17:00Z,7.23,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1986-11-14T17:00Z,7.01,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1986-12-14T17:00Z,6.85,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1987-01-14T17:00Z,7.55,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1987-02-14T17:00Z,7.38,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1987-03-14T17:00Z,7.68,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1987-04-14T17:00Z,7.57,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1987-05-14T17:00Z,7.46,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1987-06-14T17:00Z,6.93,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1987-07-14T17:00Z,7.29,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1987-08-14T17:00Z,7.05,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1987-09-14T17:00Z,7.3,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1987-10-14T17:00Z,7.2,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1987-11-14T17:00Z,6.79,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1987-12-14T17:00Z,6.99,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1988-01-14T17:00Z,7.48,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1988-02-14T17:00Z,7.12,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1988-03-14T17:00Z,7.31,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1988-04-14T17:00Z,7.91,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1988-05-14T17:00Z,3.51,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1988-06-14T17:00Z,7.05,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1988-12-14T17:00Z,7.49,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1989-05-14T17:00Z,6.99,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1989-06-14T17:00Z,7.41,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1989-07-14T17:00Z,7.52,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1989-12-14T17:00Z,7.01,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1990-05-14T17:00Z,7.0,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1990-07-14T17:00Z,7.43,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1990-08-14T17:00Z,7.37,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1990-12-14T17:00Z,6.73,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1991-06-14T17:00Z,7.06,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1991-08-14T17:00Z,7.42,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1992-06-14T17:00Z,6.48,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1992-07-14T17:00Z,7.38,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1992-08-14T17:00Z,7.22,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1993-06-14T17:00Z,3.62,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1993-07-14T17:00Z,7.02,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1993-12-14T17:00Z,6.97,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1994-06-14T17:00Z,7.58,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1994-08-14T17:00Z,7.42,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1994-12-14T17:00Z,6.69,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1995-06-14T17:00Z,6.85,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1995-07-14T17:00Z,7.52,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1995-08-14T17:00Z,7.08,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1995-12-14T17:00Z,7.1,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1996-06-14T17:00Z,6.26,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1996-07-14T17:00Z,6.77,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1996-08-14T17:00Z,7.02,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1996-12-14T17:00Z,7.63,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1997-06-14T17:00Z,7.22,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1997-07-14T17:00Z,7.43,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1997-08-14T17:00Z,7.2,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1997-12-14T17:00Z,7.04,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1998-06-14T17:00Z,7.99,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1998-07-14T17:00Z,7.48,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1998-08-14T17:00Z,7.02,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1998-12-14T17:00Z,5.83,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1999-06-14T17:00Z,7.16,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1999-07-14T17:00Z,7.35,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1999-08-14T17:00Z,7.25,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,1999-12-14T17:00Z,7.14,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2000-06-14T17:00Z,7.19,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2000-07-14T17:00Z,6.93,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2000-08-14T17:00Z,6.8,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2000-12-14T17:00Z,7.4,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2001-06-14T17:00Z,6.49,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2001-07-14T17:00Z,6.85,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2001-08-14T17:00Z,6.82,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2002-06-14T17:00Z,6.36,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2002-07-14T17:00Z,6.87,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2002-08-14T17:00Z,7.33,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2002-12-14T17:00Z,7.73,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2003-06-14T17:00Z,6.43,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2003-07-14T17:00Z,6.85,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2003-08-14T17:00Z,7.24,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2003-12-14T17:00Z,7.69,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2004-07-14T17:00Z,7.06,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2004-07-15T05:00Z,6.86,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2004-08-14T17:00Z,7.14,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2004-08-15T05:00Z,7.02,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2004-09-14T17:00Z,7.08,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2004-09-15T05:00Z,7.01,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2004-10-14T17:00Z,7.05,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2004-10-15T05:00Z,7.13,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2004-11-14T17:00Z,7.1,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2004-11-15T05:00Z,6.89,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2004-12-14T17:00Z,7.53,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2004-12-15T05:00Z,7.41,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2005-01-14T17:00Z,7.0,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2005-01-15T05:00Z,7.14,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2005-02-14T17:00Z,7.01,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2005-02-15T05:00Z,6.91,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2005-03-14T17:00Z,7.03,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2005-03-15T05:00Z,6.95,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2005-04-14T17:00Z,7.17,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2005-04-15T05:00Z,6.94,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2005-05-14T17:00Z,6.54,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2005-05-15T05:00Z,6.21,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2005-06-14T17:00Z,7.12,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2005-06-15T05:00Z,6.76,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2005-07-14T17:00Z,7.11,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2005-07-15T05:00Z,6.46,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2005-08-14T17:00Z,7.02,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2005-08-15T05:00Z,6.28,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2005-09-14T17:00Z,6.69,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2005-09-15T05:00Z,6.89,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2005-10-14T17:00Z,7.22,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2005-10-15T05:00Z,7.26,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2005-11-14T17:00Z,7.02,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2005-11-15T05:00Z,7.05,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2005-12-14T17:00Z,7.01,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2005-12-15T05:00Z,6.88,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2006-01-14T17:00Z,6.71,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2006-01-15T05:00Z,6.76,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2006-02-14T17:00Z,7.02,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2006-02-15T05:00Z,6.88,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2006-03-14T17:00Z,7.47,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2006-03-15T05:00Z,7.4,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2006-04-14T17:00Z,7.24,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2006-04-15T05:00Z,7.4,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2006-05-14T17:00Z,8.41,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2006-05-15T05:00Z,7.24,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2006-06-14T17:00Z,7.04,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2006-06-15T05:00Z,7.27,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2006-07-14T17:00Z,6.82,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2006-07-15T05:00Z,7.17,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2006-08-14T17:00Z,6.42,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2006-08-15T05:00Z,6.55,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2006-09-14T17:00Z,6.83,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2006-09-15T05:00Z,6.76,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2006-10-14T17:00Z,6.87,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2006-10-15T05:00Z,7.14,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2006-11-14T17:00Z,6.75,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2006-11-15T05:00Z,6.85,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2006-12-14T17:00Z,6.8,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2006-12-15T05:00Z,6.95,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2007-01-14T17:00Z,6.75,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2007-01-15T05:00Z,7.2,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2007-02-14T17:00Z,6.78,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2007-02-15T05:00Z,6.5,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2007-03-14T17:00Z,6.9,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2007-03-15T05:00Z,7.3,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2007-04-14T17:00Z,7.09,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2007-04-15T05:00Z,6.92,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2007-05-14T17:00Z,6.4,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2007-05-15T05:00Z,6.49,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2007-06-14T17:00Z,7.0,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2007-06-15T05:00Z,6.92,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2007-07-14T17:00Z,6.99,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2007-07-15T05:00Z,6.94,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2007-08-14T17:00Z,6.59,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2007-08-15T05:00Z,6.49,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2007-09-14T17:00Z,6.59,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2007-09-15T05:00Z,6.4,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2007-10-14T17:00Z,6.1,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2007-10-15T05:00Z,6.26,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2007-11-14T17:00Z,6.05,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2007-11-15T05:00Z,6.15,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2007-12-14T17:00Z,6.45,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2007-12-15T05:00Z,6.1,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2008-01-14T17:00Z,6.4,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2008-01-15T05:00Z,6.46,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2008-02-14T17:00Z,6.18,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2008-02-15T05:00Z,6.36,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2008-03-14T17:00Z,6.5,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2008-03-15T05:00Z,6.68,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2008-04-14T17:00Z,6.59,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2008-04-15T05:00Z,6.44,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2008-05-14T17:00Z,6.28,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2008-05-15T05:00Z,6.22,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2008-06-14T17:00Z,6.2,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2008-06-15T05:00Z,6.15,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2008-07-14T17:00Z,6.56,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2008-07-15T05:00Z,6.72,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2008-08-14T17:00Z,6.52,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2008-08-15T05:00Z,6.32,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2008-09-14T17:00Z,6.06,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2008-09-15T05:00Z,6.38,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2008-10-14T17:00Z,6.32,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,pH,Measured,2008-10-15T05:00Z,6.16,pH Units,O,Raw - Not Yet Reviewed,Unverified data
