Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988103,pH,Measured,1986-03-14T17:00Z,7.38,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,pH,Measured,1986-04-14T17:00Z,7.2,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,pH,Measured,1986-05-14T17:00Z,6.41,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,pH,Measured,1986-06-14T17:00Z,7.76,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,pH,Measured,1986-07-14T17:00Z,7.41,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,pH,Measured,1986-08-14T17:00Z,7.27,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,pH,Measured,1986-09-14T17:00Z,7.15,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,pH,Measured,1986-10-14T17:00Z,6.9,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,pH,Measured,1986-11-14T17:00Z,7.01,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,pH,Measured,1986-12-14T17:00Z,6.92,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,pH,Measured,1987-01-14T17:00Z,7.49,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,pH,Measured,1987-02-14T17:00Z,7.16,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,pH,Measured,1987-03-14T17:00Z,7.45,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,pH,Measured,1987-04-14T17:00Z,7.45,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,pH,Measured,1987-05-14T17:00Z,7.52,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,pH,Measured,1987-06-14T17:00Z,7.16,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,pH,Measured,1987-07-14T17:00Z,7.12,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,pH,Measured,1987-08-14T17:00Z,7.12,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,pH,Measured,1987-09-14T17:00Z,6.64,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,pH,Measured,1987-10-14T17:00Z,6.89,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,pH,Measured,1987-11-14T17:00Z,6.51,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,pH,Measured,1987-12-14T17:00Z,6.73,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,pH,Measured,1988-01-14T17:00Z,7.11,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,pH,Measured,1988-02-14T17:00Z,7.32,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,pH,Measured,1988-03-14T17:00Z,7.52,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,pH,Measured,1988-04-14T17:00Z,4.74,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,pH,Measured,1988-05-14T17:00Z,3.6,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,pH,Measured,1988-06-14T17:00Z,7.07,pH Units,O,Raw - Not Yet Reviewed,Unverified data
