Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988104,pH,Measured,1986-03-14T17:00Z,7.87,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,pH,Measured,1986-04-14T17:00Z,8.09,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,pH,Measured,1986-05-14T17:00Z,7.34,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,pH,Measured,1986-06-14T17:00Z,7.81,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,pH,Measured,1986-07-14T17:00Z,7.69,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,pH,Measured,1986-08-14T17:00Z,7.68,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,pH,Measured,1986-09-14T17:00Z,7.22,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,pH,Measured,1986-10-14T17:00Z,7.34,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,pH,Measured,1986-11-14T17:00Z,7.47,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,pH,Measured,1986-12-14T17:00Z,7.21,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,pH,Measured,1987-01-14T17:00Z,7.62,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,pH,Measured,1987-02-14T17:00Z,7.47,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,pH,Measured,1987-03-14T17:00Z,7.56,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,pH,Measured,1987-04-14T17:00Z,7.93,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,pH,Measured,1987-05-14T17:00Z,8.15,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,pH,Measured,1987-06-14T17:00Z,7.49,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,pH,Measured,1987-07-14T17:00Z,7.34,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,pH,Measured,1987-08-14T17:00Z,7.9,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,pH,Measured,1987-09-14T17:00Z,7.71,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,pH,Measured,1987-10-14T17:00Z,7.76,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,pH,Measured,1987-11-14T17:00Z,7.07,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,pH,Measured,1987-12-14T17:00Z,7.04,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,pH,Measured,1988-01-14T17:00Z,7.85,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,pH,Measured,1988-02-14T17:00Z,7.49,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,pH,Measured,1988-03-14T17:00Z,7.59,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,pH,Measured,1988-04-14T17:00Z,8.12,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,pH,Measured,1988-05-14T17:00Z,7.77,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,pH,Measured,1988-06-14T17:00Z,7.47,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,pH,Measured,1988-12-14T17:00Z,7.73,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,pH,Measured,1989-05-14T17:00Z,8.0,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,pH,Measured,1989-06-14T17:00Z,7.6,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,pH,Measured,1989-07-14T17:00Z,7.79,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,pH,Measured,1989-12-14T17:00Z,7.11,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,pH,Measured,1990-05-14T17:00Z,7.37,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,pH,Measured,1990-07-14T17:00Z,7.76,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,pH,Measured,1990-08-14T17:00Z,7.74,pH Units,O,Raw - Not Yet Reviewed,Unverified data
