Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988107,pH,Measured,1986-03-14T17:00Z,7.02,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,pH,Measured,1986-04-14T17:00Z,6.75,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,pH,Measured,1986-05-14T17:00Z,3.64,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,pH,Measured,1986-06-14T17:00Z,7.48,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,pH,Measured,1986-07-14T17:00Z,6.9,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,pH,Measured,1986-08-14T17:00Z,4.43,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,pH,Measured,1986-09-14T17:00Z,5.7,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,pH,Measured,1986-10-14T17:00Z,4.6,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,pH,Measured,1986-11-14T17:00Z,6.42,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,pH,Measured,1986-12-14T17:00Z,7.18,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,pH,Measured,1987-01-14T17:00Z,6.47,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,pH,Measured,1987-02-14T17:00Z,6.31,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,pH,Measured,1987-03-14T17:00Z,7.05,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,pH,Measured,1987-04-14T17:00Z,6.34,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,pH,Measured,1987-05-14T17:00Z,6.14,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,pH,Measured,1987-06-14T17:00Z,3.46,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,pH,Measured,1987-07-14T17:00Z,4.14,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,pH,Measured,1987-08-14T17:00Z,4.28,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,pH,Measured,1987-09-14T17:00Z,3.63,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,pH,Measured,1987-10-14T17:00Z,4.1,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,pH,Measured,1987-11-14T17:00Z,4.78,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,pH,Measured,1987-12-14T17:00Z,6.18,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,pH,Measured,1988-01-14T17:00Z,3.37,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,pH,Measured,1988-02-14T17:00Z,5.45,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,pH,Measured,1988-03-14T17:00Z,6.87,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,pH,Measured,1988-04-14T17:00Z,5.36,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,pH,Measured,1988-05-14T17:00Z,3.31,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,pH,Measured,1988-06-14T17:00Z,4.07,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,pH,Measured,1988-12-14T17:00Z,5.94,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,pH,Measured,1989-05-14T17:00Z,3.63,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,pH,Measured,1989-06-14T17:00Z,6.71,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,pH,Measured,1989-07-14T17:00Z,3.45,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,pH,Measured,1989-12-14T17:00Z,6.28,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,pH,Measured,1990-05-14T17:00Z,4.67,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,pH,Measured,1990-07-14T17:00Z,7.04,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,pH,Measured,1990-08-14T17:00Z,4.34,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,pH,Measured,1990-12-14T17:00Z,6.48,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,pH,Measured,1991-06-14T17:00Z,3.05,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,pH,Measured,1991-08-14T17:00Z,4.35,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,pH,Measured,1992-06-14T17:00Z,3.36,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,pH,Measured,1992-07-14T17:00Z,4.01,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,pH,Measured,1992-08-14T17:00Z,4.74,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,pH,Measured,1993-06-14T17:00Z,3.29,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,pH,Measured,1993-07-14T17:00Z,6.61,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,pH,Measured,1993-12-14T17:00Z,6.58,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,pH,Measured,1994-06-14T17:00Z,4.19,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,pH,Measured,1994-08-14T17:00Z,4.02,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,pH,Measured,1994-12-14T17:00Z,6.36,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,pH,Measured,1995-06-14T17:00Z,3.37,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,pH,Measured,1995-07-14T17:00Z,4.92,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,pH,Measured,1995-08-14T17:00Z,3.88,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,pH,Measured,1995-12-14T17:00Z,6.51,pH Units,O,Raw - Not Yet Reviewed,Unverified data
