Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988108,pH,Measured,1986-03-14T17:00Z,6.11,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,pH,Measured,1986-04-14T17:00Z,5.72,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,pH,Measured,1986-05-14T17:00Z,5.83,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,pH,Measured,1986-06-14T17:00Z,6.91,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,pH,Measured,1986-07-14T17:00Z,7.04,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,pH,Measured,1986-08-14T17:00Z,4.3,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,pH,Measured,1986-09-14T17:00Z,4.68,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,pH,Measured,1986-10-14T17:00Z,4.84,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,pH,Measured,1986-11-14T17:00Z,6.35,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,pH,Measured,1986-12-14T17:00Z,7.03,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,pH,Measured,1987-01-14T17:00Z,5.85,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,pH,Measured,1987-02-14T17:00Z,6.55,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,pH,Measured,1987-03-14T17:00Z,6.6,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,pH,Measured,1987-04-14T17:00Z,6.05,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,pH,Measured,1987-05-14T17:00Z,5.5,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,pH,Measured,1987-06-14T17:00Z,3.71,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,pH,Measured,1987-07-14T17:00Z,3.98,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,pH,Measured,1987-08-14T17:00Z,4.72,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,pH,Measured,1987-09-14T17:00Z,3.59,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,pH,Measured,1987-10-14T17:00Z,3.87,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,pH,Measured,1987-11-14T17:00Z,4.97,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,pH,Measured,1987-12-14T17:00Z,6.03,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,pH,Measured,1988-01-14T17:00Z,4.17,pH Units,O,Raw - Not Yet Reviewed,Unverified data
