Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988109,pH,Measured,1986-03-14T17:00Z,7.62,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988109,pH,Measured,1986-04-14T17:00Z,8.27,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988109,pH,Measured,1986-05-14T17:00Z,7.84,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988109,pH,Measured,1986-06-14T17:00Z,8.2,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988109,pH,Measured,1986-07-14T17:00Z,7.25,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988109,pH,Measured,1986-08-14T17:00Z,7.65,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988109,pH,Measured,1986-09-14T17:00Z,7.34,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988109,pH,Measured,1986-10-14T17:00Z,6.95,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988109,pH,Measured,1986-11-14T17:00Z,6.99,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988109,pH,Measured,1986-12-14T17:00Z,7.27,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988109,pH,Measured,1987-01-14T17:00Z,7.42,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988109,pH,Measured,1987-02-14T17:00Z,7.4,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988109,pH,Measured,1987-03-14T17:00Z,7.75,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988109,pH,Measured,1987-04-14T17:00Z,8.1,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988109,pH,Measured,1987-05-14T17:00Z,8.03,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988109,pH,Measured,1987-06-14T17:00Z,7.37,pH Units,O,Raw - Not Yet Reviewed,Unverified data
