Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988112,pH,Measured,1986-03-14T17:00Z,6.54,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,pH,Measured,1986-04-14T17:00Z,6.41,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,pH,Measured,1986-05-14T17:00Z,6.04,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,pH,Measured,1986-06-14T17:00Z,4.39,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,pH,Measured,1986-09-14T17:00Z,4.7,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,pH,Measured,1986-10-14T17:00Z,6.27,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,pH,Measured,1986-11-14T17:00Z,6.32,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,pH,Measured,1986-12-14T17:00Z,6.38,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,pH,Measured,1987-01-14T17:00Z,6.37,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,pH,Measured,1987-02-14T17:00Z,6.06,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,pH,Measured,1987-03-14T17:00Z,6.26,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,pH,Measured,1987-04-14T17:00Z,6.93,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,pH,Measured,1987-05-14T17:00Z,6.8,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,pH,Measured,1987-06-14T17:00Z,5.2,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,pH,Measured,1987-07-14T17:00Z,4.54,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,pH,Measured,1987-08-14T17:00Z,4.31,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,pH,Measured,1987-09-14T17:00Z,3.99,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,pH,Measured,1987-10-14T17:00Z,3.79,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,pH,Measured,1987-11-14T17:00Z,5.25,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,pH,Measured,1987-12-14T17:00Z,4.83,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,pH,Measured,1988-01-14T17:00Z,3.94,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,pH,Measured,1988-02-14T17:00Z,4.16,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,pH,Measured,1988-03-14T17:00Z,4.76,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,pH,Measured,1988-04-14T17:00Z,6.74,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,pH,Measured,1988-05-14T17:00Z,5.09,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,pH,Measured,1988-06-14T17:00Z,3.82,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,pH,Measured,1988-12-14T17:00Z,4.13,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,pH,Measured,1989-05-14T17:00Z,4.24,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,pH,Measured,1989-06-14T17:00Z,3.57,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,pH,Measured,1989-07-14T17:00Z,3.9,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,pH,Measured,1989-12-14T17:00Z,5.96,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,pH,Measured,1990-05-14T17:00Z,4.37,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,pH,Measured,1990-07-14T17:00Z,6.89,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,pH,Measured,1990-08-14T17:00Z,4.7,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,pH,Measured,1990-12-14T17:00Z,6.19,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,pH,Measured,1991-06-14T17:00Z,3.49,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,pH,Measured,1991-08-14T17:00Z,3.02,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,pH,Measured,1992-06-14T17:00Z,3.81,pH Units,O,Raw - Not Yet Reviewed,Unverified data
