Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988204,pH,Measured,1988-07-14T17:00Z,7.11,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1988-11-14T17:00Z,6.92,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1988-12-14T17:00Z,8.07,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1988-12-15T05:00Z,7.13,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1989-01-14T17:00Z,7.17,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1989-01-15T05:00Z,7.1,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1989-02-14T17:00Z,7.01,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1989-02-15T05:00Z,6.69,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1989-03-14T17:00Z,6.9,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1989-03-15T05:00Z,6.96,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1989-04-14T17:00Z,6.9,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1989-04-15T05:00Z,6.92,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1989-05-14T17:00Z,6.62,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1989-05-15T05:00Z,6.72,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1989-06-14T17:00Z,6.69,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1989-06-15T05:00Z,6.74,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1989-07-14T17:00Z,6.73,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1989-07-15T05:00Z,6.65,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1989-08-14T17:00Z,7.01,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1989-08-15T05:00Z,6.93,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1989-09-14T17:00Z,6.99,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1989-09-15T05:00Z,6.91,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1989-10-14T17:00Z,6.84,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1989-10-15T05:00Z,6.86,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1989-11-14T17:00Z,7.02,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1989-11-15T05:00Z,6.96,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1989-12-14T17:00Z,7.06,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1989-12-15T05:00Z,7.07,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1990-01-14T17:00Z,7.11,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1990-01-15T05:00Z,7.14,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1990-02-14T17:00Z,7.09,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1990-03-14T17:00Z,7.19,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1990-03-15T05:00Z,7.05,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1990-04-14T17:00Z,7.05,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1990-04-15T05:00Z,6.98,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1990-05-14T17:00Z,7.05,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1990-05-15T05:00Z,6.92,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1990-07-14T17:00Z,6.83,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1990-07-15T05:00Z,6.83,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1990-08-14T17:00Z,6.8,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1990-08-15T05:00Z,7.0,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1990-09-14T17:00Z,7.2,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1990-09-15T05:00Z,7.43,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1990-10-14T17:00Z,6.84,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1990-10-15T05:00Z,6.87,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1990-11-14T17:00Z,6.6,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1990-12-14T17:00Z,7.06,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1990-12-15T05:00Z,7.8,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1991-01-14T17:00Z,7.24,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1991-01-15T05:00Z,7.22,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1991-02-14T17:00Z,6.45,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1991-02-15T05:00Z,6.47,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1991-03-14T17:00Z,7.5,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1991-03-15T05:00Z,6.68,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1991-04-14T17:00Z,7.16,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1991-04-15T05:00Z,7.18,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1991-05-14T17:00Z,6.93,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1991-05-15T05:00Z,6.88,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1991-06-14T17:00Z,6.64,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1991-06-15T05:00Z,6.73,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1991-07-14T17:00Z,6.48,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1991-07-15T05:00Z,6.61,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1991-08-14T17:00Z,6.69,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1991-08-15T05:00Z,6.63,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1991-09-14T17:00Z,6.78,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1991-09-15T05:00Z,6.7,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1991-10-14T17:00Z,6.94,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1991-10-15T05:00Z,6.82,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1991-11-14T17:00Z,6.95,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1991-11-15T05:00Z,6.89,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1991-12-14T17:00Z,6.95,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1991-12-15T05:00Z,6.89,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1992-01-14T17:00Z,6.99,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1992-01-15T05:00Z,6.98,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1992-02-14T17:00Z,7.0,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1992-02-15T05:00Z,7.09,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1992-03-14T17:00Z,6.9,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1992-03-15T05:00Z,7.02,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1992-04-14T17:00Z,6.92,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1992-04-15T05:00Z,6.9,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1992-05-14T17:00Z,6.92,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1992-05-15T05:00Z,6.84,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1992-06-14T17:00Z,6.22,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1992-06-15T05:00Z,6.27,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1992-07-14T17:00Z,6.33,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1992-07-15T05:00Z,6.26,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1992-08-14T17:00Z,6.55,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1992-08-15T05:00Z,6.53,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1992-09-14T17:00Z,6.83,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1992-09-15T05:00Z,6.82,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1992-10-14T17:00Z,7.0,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1992-10-15T05:00Z,7.44,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1992-11-14T17:00Z,7.0,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1992-11-15T05:00Z,7.03,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1992-12-14T17:00Z,7.1,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1992-12-15T05:00Z,7.11,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988204,pH,Measured,1993-01-14T17:00Z,6.97,pH Units,O,Raw - Not Yet Reviewed,Unverified data
