Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988214,pH,Measured,1990-03-14T17:00Z,7.14,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1990-03-15T05:00Z,7.32,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1990-04-14T17:00Z,7.31,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1990-04-15T05:00Z,7.05,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1990-05-14T17:00Z,6.74,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1990-05-15T05:00Z,6.7,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1990-07-14T17:00Z,3.83,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1990-07-15T05:00Z,5.15,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1990-08-14T17:00Z,3.59,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1990-08-15T05:00Z,3.76,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1990-09-14T17:00Z,7.62,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1990-09-15T05:00Z,3.92,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1990-10-14T17:00Z,4.75,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1990-10-15T05:00Z,4.42,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1990-11-14T17:00Z,6.39,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1990-11-15T05:00Z,6.63,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1990-12-14T17:00Z,7.02,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1990-12-15T05:00Z,7.4,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1991-01-14T17:00Z,8.01,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1991-01-15T05:00Z,7.42,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1991-02-14T17:00Z,6.34,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1991-02-15T05:00Z,6.31,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1991-03-14T17:00Z,7.55,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1991-03-15T05:00Z,6.81,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1991-04-14T17:00Z,7.72,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1991-05-14T17:00Z,7.19,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1991-06-14T17:00Z,6.92,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1991-07-14T17:00Z,4.7,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1991-08-14T17:00Z,3.68,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1991-09-14T17:00Z,3.69,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1991-10-14T17:00Z,6.75,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1991-11-14T17:00Z,6.94,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1991-12-14T17:00Z,6.94,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1992-01-14T17:00Z,7.12,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1992-02-14T17:00Z,7.38,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1992-03-14T17:00Z,7.15,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1992-04-14T17:00Z,7.6,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1992-05-14T17:00Z,6.95,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1992-06-14T17:00Z,6.39,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1992-07-14T17:00Z,6.27,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1992-08-14T17:00Z,3.85,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1992-09-14T17:00Z,4.27,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1992-10-14T17:00Z,6.46,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1992-11-14T17:00Z,6.59,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1992-12-14T17:00Z,7.1,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1993-01-14T17:00Z,6.99,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1993-02-14T17:00Z,6.98,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1993-03-14T17:00Z,7.17,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1993-04-14T17:00Z,6.87,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1993-05-14T17:00Z,6.37,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1993-06-14T17:00Z,4.19,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1993-07-14T17:00Z,4.21,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1993-08-14T17:00Z,3.64,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1993-09-14T17:00Z,6.64,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1993-10-14T17:00Z,6.75,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1993-11-14T17:00Z,7.16,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1993-12-14T17:00Z,7.05,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1994-01-14T17:00Z,6.89,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1994-02-14T17:00Z,7.26,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1994-03-14T17:00Z,7.1,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1994-04-14T17:00Z,7.08,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1994-05-14T17:00Z,5.83,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1994-06-14T17:00Z,6.67,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1994-07-14T17:00Z,5.92,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1994-08-14T17:00Z,5.77,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1994-09-14T17:00Z,6.02,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1994-10-14T17:00Z,6.76,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1994-11-14T17:00Z,7.13,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1995-01-14T17:00Z,7.07,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1995-02-14T17:00Z,6.73,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1995-03-14T17:00Z,6.87,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1995-04-14T17:00Z,6.87,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1995-06-14T17:00Z,6.56,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1998-10-14T17:00Z,6.13,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1998-11-14T17:00Z,6.81,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,1998-12-14T17:00Z,6.89,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2000-01-14T17:00Z,6.92,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2000-02-14T17:00Z,7.2,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2000-03-14T17:00Z,6.76,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2000-04-14T17:00Z,6.78,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2000-05-14T17:00Z,6.46,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2000-06-14T17:00Z,5.59,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2000-07-14T17:00Z,6.17,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2000-08-14T17:00Z,6.87,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2000-09-14T17:00Z,6.62,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2000-10-14T17:00Z,6.74,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2000-11-14T17:00Z,6.53,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2000-12-14T17:00Z,6.51,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2001-01-14T17:00Z,6.78,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2001-02-14T17:00Z,6.76,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2001-03-14T17:00Z,7.22,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2001-04-14T17:00Z,6.77,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2001-05-14T17:00Z,3.68,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2001-06-14T17:00Z,4.55,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2001-07-14T17:00Z,6.11,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2001-08-14T17:00Z,6.58,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2001-09-14T17:00Z,6.62,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2001-10-14T17:00Z,6.35,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2001-11-14T17:00Z,6.61,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2001-12-14T17:00Z,6.84,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2002-07-14T17:00Z,5.01,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2002-07-15T05:00Z,5.36,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2002-08-14T17:00Z,4.84,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2002-08-15T05:00Z,4.6,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2002-09-14T17:00Z,6.15,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2002-09-15T05:00Z,6.07,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2002-10-14T17:00Z,6.51,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2002-10-15T05:00Z,6.39,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2002-11-14T17:00Z,6.55,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2002-11-15T05:00Z,6.55,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2002-12-14T17:00Z,5.95,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2002-12-15T05:00Z,6.69,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2003-01-14T17:00Z,6.84,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2003-01-15T05:00Z,6.43,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2003-02-14T17:00Z,6.56,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2003-02-15T05:00Z,6.6,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2003-03-14T17:00Z,6.79,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2003-03-15T05:00Z,6.8,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2003-04-14T17:00Z,6.63,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2003-04-15T05:00Z,6.65,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2003-05-14T17:00Z,6.3,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2003-05-15T05:00Z,6.32,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2003-06-14T17:00Z,5.9,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2003-06-15T05:00Z,6.16,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2003-07-14T17:00Z,5.27,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2003-07-15T05:00Z,5.63,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2003-08-14T17:00Z,5.94,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2003-08-15T05:00Z,5.96,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2003-09-14T17:00Z,6.1,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2003-09-15T05:00Z,5.96,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2003-10-14T17:00Z,6.2,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2003-10-15T05:00Z,6.16,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2003-11-14T17:00Z,6.32,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2003-11-15T05:00Z,6.25,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2003-12-14T17:00Z,6.7,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2003-12-15T05:00Z,6.81,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2004-01-14T17:00Z,6.68,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2004-01-15T05:00Z,6.64,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2004-02-14T17:00Z,6.67,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2004-02-15T05:00Z,6.63,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2004-03-14T17:00Z,6.65,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2004-03-15T05:00Z,6.61,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2004-04-14T17:00Z,6.67,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2004-04-15T05:00Z,6.74,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2004-05-14T17:00Z,6.81,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2004-05-15T05:00Z,6.88,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2004-06-14T17:00Z,5.18,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2004-06-15T05:00Z,6.72,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2004-07-14T17:00Z,6.55,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2004-07-15T05:00Z,5.78,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2004-08-14T17:00Z,6.13,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2004-08-15T05:00Z,5.58,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2004-09-14T17:00Z,6.38,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2004-09-15T05:00Z,6.25,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2004-10-14T17:00Z,6.64,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2004-10-15T05:00Z,6.81,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2004-11-14T17:00Z,6.92,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2004-11-15T05:00Z,6.97,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2004-12-14T17:00Z,6.99,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2004-12-15T05:00Z,6.78,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2005-01-14T17:00Z,7.39,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,pH,Measured,2005-01-15T05:00Z,7.21,pH Units,O,Raw - Not Yet Reviewed,Unverified data
