Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988301,pH,Measured,1991-08-14T17:00Z,6.77,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1991-08-15T05:00Z,6.8,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1991-09-14T17:00Z,6.97,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1991-09-15T05:00Z,7.16,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1991-10-14T17:00Z,7.14,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1991-10-15T05:00Z,7.35,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1991-11-14T17:00Z,7.08,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1991-11-15T05:00Z,7.1,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1991-12-14T17:00Z,6.69,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1991-12-15T05:00Z,7.25,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1992-01-14T17:00Z,6.99,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1992-01-15T05:00Z,7.05,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1992-02-14T17:00Z,7.07,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1992-02-15T05:00Z,7.06,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1992-03-14T17:00Z,7.17,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1992-03-15T05:00Z,7.41,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1992-04-14T17:00Z,7.95,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1992-04-15T05:00Z,7.81,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1992-05-14T17:00Z,7.36,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1992-05-15T05:00Z,7.41,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1992-06-14T17:00Z,6.67,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1992-06-15T05:00Z,6.88,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1992-07-14T17:00Z,6.92,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1992-07-15T05:00Z,6.8,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1992-08-14T17:00Z,6.78,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1992-08-15T05:00Z,6.95,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1992-09-14T17:00Z,6.78,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1992-09-15T05:00Z,6.82,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1992-10-14T17:00Z,6.76,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1992-10-15T05:00Z,6.8,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1992-11-14T17:00Z,6.19,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1992-11-15T05:00Z,6.9,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1992-12-14T17:00Z,6.74,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1992-12-15T05:00Z,6.79,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1993-01-14T17:00Z,6.94,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1993-01-15T05:00Z,7.05,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1993-02-14T17:00Z,7.36,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1993-02-15T05:00Z,7.19,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1993-03-14T17:00Z,7.26,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1993-04-14T17:00Z,7.15,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1993-04-15T05:00Z,7.24,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1993-05-14T17:00Z,6.52,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1993-05-15T05:00Z,6.81,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1993-06-14T17:00Z,6.82,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1993-06-15T05:00Z,6.86,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1993-08-14T17:00Z,6.8,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1993-08-15T05:00Z,7.15,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1993-09-14T17:00Z,6.8,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1993-09-15T05:00Z,6.9,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1993-10-14T17:00Z,6.98,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1993-10-15T05:00Z,6.91,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1993-11-14T17:00Z,6.83,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1993-11-15T05:00Z,6.96,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1993-12-14T17:00Z,6.85,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1993-12-15T05:00Z,7.01,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1994-01-14T17:00Z,7.11,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1994-01-15T05:00Z,7.11,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1994-02-14T17:00Z,7.13,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1994-02-15T05:00Z,7.2,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1994-03-14T17:00Z,7.22,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1994-03-15T05:00Z,7.15,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1994-04-14T17:00Z,7.2,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1994-04-15T05:00Z,7.29,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1994-05-14T17:00Z,6.34,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1994-05-15T05:00Z,6.33,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1994-06-14T17:00Z,7.01,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1994-06-15T05:00Z,6.91,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1994-07-14T17:00Z,7.18,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1994-07-15T05:00Z,7.13,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1994-08-14T17:00Z,7.28,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1994-09-14T17:00Z,6.89,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1994-09-15T05:00Z,7.03,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1994-10-14T17:00Z,6.88,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1994-10-15T05:00Z,7.02,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1994-11-14T17:00Z,6.73,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1994-11-15T05:00Z,6.93,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1994-12-14T17:00Z,6.57,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1994-12-15T05:00Z,6.64,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1995-01-14T17:00Z,7.16,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1995-01-15T05:00Z,7.34,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1995-02-14T17:00Z,6.98,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1995-02-15T05:00Z,7.01,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1995-03-14T17:00Z,7.89,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1995-03-15T05:00Z,8.02,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1995-04-14T17:00Z,7.13,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988301,pH,Measured,1995-04-15T05:00Z,7.29,pH Units,O,Raw - Not Yet Reviewed,Unverified data
