Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988308,pH,Measured,1991-08-14T17:00Z,6.08,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,pH,Measured,1991-08-15T05:00Z,5.91,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,pH,Measured,1991-09-14T17:00Z,6.85,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,pH,Measured,1991-09-15T05:00Z,6.83,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,pH,Measured,1991-10-14T17:00Z,7.18,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,pH,Measured,1991-10-15T05:00Z,7.2,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,pH,Measured,1991-11-14T17:00Z,7.14,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,pH,Measured,1991-11-15T05:00Z,7.15,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,pH,Measured,1991-12-14T17:00Z,6.95,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,pH,Measured,1991-12-15T05:00Z,6.83,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,pH,Measured,1992-01-14T17:00Z,6.83,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,pH,Measured,1992-01-15T05:00Z,6.68,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,pH,Measured,1992-02-14T17:00Z,7.08,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,pH,Measured,1992-02-15T05:00Z,5.51,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,pH,Measured,1992-03-14T17:00Z,7.17,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,pH,Measured,1992-03-15T05:00Z,7.27,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,pH,Measured,1992-04-14T17:00Z,7.17,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,pH,Measured,1992-04-15T05:00Z,7.12,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,pH,Measured,1992-05-14T17:00Z,7.12,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,pH,Measured,1992-05-15T05:00Z,7.08,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,pH,Measured,1992-06-14T17:00Z,5.76,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,pH,Measured,1992-06-15T05:00Z,6.74,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,pH,Measured,1992-07-14T17:00Z,4.4,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,pH,Measured,1992-07-15T05:00Z,4.95,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,pH,Measured,1992-08-14T17:00Z,5.72,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,pH,Measured,1992-08-15T05:00Z,5.65,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,pH,Measured,1992-09-14T17:00Z,6.45,pH Units,O,Raw - Not Yet Reviewed,Unverified data
