Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988311,pH,Measured,1991-08-14T17:00Z,3.27,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988311,pH,Measured,1991-08-15T05:00Z,3.3,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988311,pH,Measured,1991-09-14T17:00Z,3.64,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988311,pH,Measured,1991-09-15T05:00Z,3.78,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988311,pH,Measured,1991-10-14T17:00Z,6.53,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988311,pH,Measured,1991-10-15T05:00Z,6.89,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988311,pH,Measured,1991-11-14T17:00Z,6.65,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988311,pH,Measured,1991-11-15T05:00Z,6.47,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988311,pH,Measured,1991-12-14T17:00Z,5.12,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988311,pH,Measured,1991-12-15T05:00Z,4.82,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988311,pH,Measured,1992-01-14T17:00Z,3.71,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988311,pH,Measured,1992-01-15T05:00Z,3.91,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988311,pH,Measured,1992-02-14T17:00Z,6.34,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988311,pH,Measured,1992-02-15T05:00Z,6.03,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988311,pH,Measured,1992-03-14T17:00Z,7.15,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988311,pH,Measured,1992-03-15T05:00Z,7.09,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988311,pH,Measured,1992-04-14T17:00Z,7.08,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988311,pH,Measured,1992-04-15T05:00Z,6.85,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988311,pH,Measured,1992-05-14T17:00Z,3.81,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988311,pH,Measured,1992-05-15T05:00Z,3.68,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988311,pH,Measured,1992-06-14T17:00Z,3.82,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988311,pH,Measured,1992-06-15T05:00Z,4.01,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988311,pH,Measured,1992-07-14T17:00Z,3.56,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988311,pH,Measured,1992-07-15T05:00Z,3.88,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988311,pH,Measured,1992-08-14T17:00Z,3.37,pH Units,O,Raw - Not Yet Reviewed,Unverified data
