Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988313,pH,Measured,1991-08-14T17:00Z,4.07,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,pH,Measured,1991-08-15T05:00Z,4.12,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,pH,Measured,1991-09-14T17:00Z,4.56,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,pH,Measured,1991-09-15T05:00Z,6.04,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,pH,Measured,1991-10-14T17:00Z,6.89,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,pH,Measured,1991-10-15T05:00Z,6.91,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,pH,Measured,1991-11-14T17:00Z,6.88,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,pH,Measured,1991-11-15T05:00Z,6.83,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,pH,Measured,1991-12-14T17:00Z,6.59,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,pH,Measured,1991-12-15T05:00Z,6.63,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,pH,Measured,1992-01-14T17:00Z,3.8,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,pH,Measured,1992-01-15T05:00Z,3.79,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,pH,Measured,1992-02-14T17:00Z,6.46,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,pH,Measured,1992-02-15T05:00Z,4.6,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,pH,Measured,1992-03-14T17:00Z,6.97,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,pH,Measured,1992-03-15T05:00Z,7.06,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,pH,Measured,1992-04-14T17:00Z,7.17,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,pH,Measured,1992-04-15T05:00Z,7.14,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,pH,Measured,1992-05-14T17:00Z,5.64,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,pH,Measured,1992-05-15T05:00Z,5.84,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,pH,Measured,1992-06-14T17:00Z,3.38,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,pH,Measured,1992-06-15T05:00Z,3.54,pH Units,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,pH,Measured,1992-07-14T17:00Z,2.98,pH Units,O,Raw - Not Yet Reviewed,Unverified data
