date_created,location,measurement,value
23/05/2023,Sông Cổ Chiên - Châu Thành (Cầu Rạch Gốc),Độ mặn(‰),3
23/05/2023,Sông Cổ Chiên - Châu Thành (Cầu Rạch Gốc),pH,8.0
23/05/2023,Sông Cổ Chiên - Châu Thành (Cầu Rạch Gốc),Kiềm(mg/l),90
23/05/2023,Sông Cổ Chiên - Châu Thành (Cầu Rạch Gốc),Oxy (mg/l),3.0
23/05/2023,Sông Cổ Chiên - Châu Thành (Cầu Rạch Gốc),Nhiệt độ nước (oC),29
23/05/2023,Bến phà Long Hưng - Hòa Minh - Châu Thành,Độ mặn(‰),1
23/05/2023,Bến phà Long Hưng - Hòa Minh - Châu Thành,pH,7.5
23/05/2023,Bến phà Long Hưng - Hòa Minh - Châu Thành,Kiềm(mg/l),72
23/05/2023,Bến phà Long Hưng - Hòa Minh - Châu Thành,Oxy (mg/l),4.0
23/05/2023,Bến phà Long Hưng - Hòa Minh - Châu Thành,Nhiệt độ nước (oC),29
23/05/2023,Sông Vinh Kim – Cầu Ngang,Độ mặn(‰),0
23/05/2023,Sông Vinh Kim – Cầu Ngang,pH,7.5
23/05/2023,Sông Vinh Kim – Cầu Ngang,Kiềm(mg/l),90
23/05/2023,Sông Vinh Kim – Cầu Ngang,Oxy (mg/l),3.0
23/05/2023,Sông Vinh Kim – Cầu Ngang,Nhiệt độ nước (oC),29
23/05/2023,Sông Hiệp Mỹ - Cầu Ngang (gần Cầu Hiệp Mỹ),Độ mặn(‰),10
23/05/2023,Sông Hiệp Mỹ - Cầu Ngang (gần Cầu Hiệp Mỹ),pH,8.0
23/05/2023,Sông Hiệp Mỹ - Cầu Ngang (gần Cầu Hiệp Mỹ),Kiềm(mg/l),107
23/05/2023,Sông Hiệp Mỹ - Cầu Ngang (gần Cầu Hiệp Mỹ),Oxy (mg/l),4.0
23/05/2023,Sông Hiệp Mỹ - Cầu Ngang (gần Cầu Hiệp Mỹ),Nhiệt độ nước (oC),27
23/05/2023,Cống Thâu Râu - Mỹ Long Nam - Cầu Ngang,Độ mặn(‰),11
23/05/2023,Cống Thâu Râu - Mỹ Long Nam - Cầu Ngang,pH,7.5
23/05/2023,Cống Thâu Râu - Mỹ Long Nam - Cầu Ngang,Kiềm(mg/l),90
23/05/2023,Cống Thâu Râu - Mỹ Long Nam - Cầu Ngang,Oxy (mg/l),3.0
23/05/2023,Cống Thâu Râu - Mỹ Long Nam - Cầu Ngang,Nhiệt độ nước (oC),28
23/05/2023,HTX nghêu Thành Công - Mỹ Long Nam - Cầu Ngang,Độ mặn(‰),12
23/05/2023,HTX nghêu Thành Công - Mỹ Long Nam - Cầu Ngang,pH,8.0
23/05/2023,HTX nghêu Thành Công - Mỹ Long Nam - Cầu Ngang,Kiềm(mg/l),90
23/05/2023,HTX nghêu Thành Công - Mỹ Long Nam - Cầu Ngang,Oxy (mg/l),3.0
23/05/2023,HTX nghêu Thành Công - Mỹ Long Nam - Cầu Ngang,Nhiệt độ nước (oC),28
23/05/2023,Cầu Sông Giăng - Hiệp Thạnh - TX. Duyên Hải,Độ mặn(‰),13
23/05/2023,Cầu Sông Giăng - Hiệp Thạnh - TX. Duyên Hải,pH,8.0
23/05/2023,Cầu Sông Giăng - Hiệp Thạnh - TX. Duyên Hải,Kiềm(mg/l),90
23/05/2023,Cầu Sông Giăng - Hiệp Thạnh - TX. Duyên Hải,Oxy (mg/l),3.0
23/05/2023,Cầu Sông Giăng - Hiệp Thạnh - TX. Duyên Hải,Nhiệt độ nước (oC),29
23/05/2023,HTX nghêu Thành Đạt - Hiệp Thạnh – TX. Duyên Hải,Độ mặn(‰),16
23/05/2023,HTX nghêu Thành Đạt - Hiệp Thạnh – TX. Duyên Hải,pH,8.0
23/05/2023,HTX nghêu Thành Đạt - Hiệp Thạnh – TX. Duyên Hải,Kiềm(mg/l),90
